CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU00062_567;791;47.6185;-63.29833;233538;5.85;07-dec-00;09:06:00;30.5;2.95;341.91696;7.466;5.585;0.155;0.775;5.07;NaN;NaN;NaN;0.16;0.285;1.115;NaN
18HU00062_567;791;47.6185;-63.29833;233539;3.97;07-dec-00;09:06:00;30.5;2.95;342.58686;7.492;6.12;0.15;0.775;5.065;NaN;NaN;NaN;0.095;0.305;1.044;NaN
18HU00062_568;81;47.5875;-59.33667;232976;198.83;29-nov-00;14:55:00;33.83;4.56;206.86512;5.04;12.34;0.02;1.18;14.155;NaN;NaN;NaN;NaN;NaN;0.469;NaN
18HU00062_568;81;47.5875;-59.33667;232977;149.19;29-nov-00;14:55:00;32.85;1.26;255.85714;6.6105;7.7;0.08;0.97;9.015;NaN;NaN;NaN;NaN;NaN;0.547;NaN
18HU00062_568;81;47.5875;-59.33667;232978;99.24;29-nov-00;14:55:00;32.48;2.59;268.98718;1.187;5.66;0.1;0.83;6.82;NaN;NaN;NaN;0.055;0.115;0.643;NaN
18HU00062_568;81;47.5875;-59.33667;232979;49.38;29-nov-00;14:55:00;31.5;6.58;301.41034;6.843;1.825;0.17;0.44;1.335;NaN;NaN;NaN;0.36;0.49;1.762;NaN
18HU00062_568;81;47.5875;-59.33667;232980;25.29;29-nov-00;14:55:00;31.46;6.45;312.79864;6.873;1.845;0.16;0.385;1.14;NaN;NaN;NaN;0.415;0.535;2.164;NaN
18HU00062_568;81;47.5875;-59.33667;232981;15.37;29-nov-00;14:55:00;31.46;6.44;318.11318;6.879;1.89;0.155;0.41;1.25;NaN;NaN;NaN;0.465;0.595;2.184;NaN
18HU00062_568;81;47.5875;-59.33667;232982;5.35;29-nov-00;14:55:00;31.46;6.43;323.69568;6.887;1.78;0.16;0.41;1.265;NaN;NaN;NaN;0.54;0.69;2.196;NaN
18HU00062_568;81;47.5875;-59.33667;232983;3.37;29-nov-00;14:55:00;31.46;6.43;324.41024;6.884;1.575;0.155;0.43;1.265;NaN;NaN;NaN;0.43;0.56;2.172;NaN
