CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;Si_01;PO4_01;NOx_01;OXYM_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18PZ96058_502;481;46.81817;-60.93467;181343;78.43;11-dec-96;20:21:00;32.29;2.12;255.85714;10.635;1.05;8.73;6.429;0.05;0.1
18PZ96058_502;481;46.81817;-60.93467;181344;54.34;11-dec-96;20:21:00;31.39;2.86;275.23958;10.55;0.975;7.8;6.204;0.11;0.17
18PZ96058_502;481;46.81817;-60.93467;181345;28.66;11-dec-96;20:21:00;29.26;4.58;325.39276;3.51;0.55;2.215;7.512;0.38;0.54
18PZ96058_502;481;46.81817;-60.93467;181346;18.94;11-dec-96;20:21:00;29.25;4.58;327.00052;3.61;0.58;2.27;7.563;0.32;0.43
18PZ96058_502;481;46.81817;-60.93467;181347;9.62;11-dec-96;20:21:00;29.24;4.59;328.78692;3.585;0.56;2.3;7.53;0.37;0.46
18PZ96058_502;481;46.81817;-60.93467;181348;0.5;11-dec-96;20:21:00;NaN;NaN;NaN;3.785;0.58;2.435;NaN;0.34;0.43
18PZ96058_503;491;46.89883;-61.07567;181349;76.45;11-dec-96;21:33:00;32.61;1.54;274.8823;10.295;1.05;9.31;6.361;0.05;0.1
18PZ96058_503;491;46.89883;-61.07567;181350;60.09;11-dec-96;21:33:00;32.04;2.04;284.66284;10.2;1.025;8.68;6.638;0.05;0.09
18PZ96058_503;491;46.89883;-61.07567;181351;34.91;11-dec-96;21:33:00;29.91;4.23;314.4064;4.31;0.555;3.2;7.1875;0.21;0.28
18PZ96058_503;491;46.89883;-61.07567;181352;25.29;11-dec-96;21:33:00;29.47;4.45;327.53644;NaN;NaN;NaN;7.5195;0.29;0.39
18PZ96058_503;491;46.89883;-61.07567;181353;15.37;11-dec-96;21:33:00;29.38;4.43;330.88594;3.7075;0.5475;2.3875;7.4965;0.36;0.48
18PZ96058_503;491;46.89883;-61.07567;181354;0.5;11-dec-96;21:33:00;NaN;NaN;NaN;3.7075;0.56;2.3725;NaN;0.4;0.55
18PZ96058_504;501;46.98017;-61.21567;181355;47.2;11-dec-96;22:40:00;31.6;2.8;275.9988;10.14;0.945;8.41;6.393;0.04;0.07
18PZ96058_504;501;46.98017;-61.21567;181356;27.67;11-dec-96;22:40:00;29.96;3.99;330.7073;3.795;0.595;2.85;7.514;0.24;0.32
18PZ96058_504;501;46.98017;-61.21567;181357;17.65;11-dec-96;22:40:00;29.62;4.17;332.44904;3.935;0.61;2.685;7.3745;0.32;0.41
18PZ96058_504;501;46.98017;-61.21567;181358;4.96;11-dec-96;22:40:00;29.53;4.22;334.10146;2.895;0.5;2.35;7.601;0.33;0.43
18PZ96058_504;501;46.98017;-61.21567;181359;0.5;11-dec-96;22:40:00;NaN;NaN;NaN;3.575;0.565;2.425;NaN;NaN;NaN
18PZ96058_505;511;47.0615;-61.35517;181360;36.19;12-dec-96;00:08:00;30.42;3.52;324.32092;4.68;0.7;3.28;7.4615;0.18;0.27
18PZ96058_505;511;47.0615;-61.35517;181361;24.3;12-dec-96;00:08:00;30.04;3.64;337.49562;3.11;0.54;2.17;7.661;0.31;0.42
18PZ96058_505;511;47.0615;-61.35517;181362;16.36;12-dec-96;00:08:00;30.04;3.63;338.61212;3.59;0.62;2.32;7.6595;0.33;0.44
18PZ96058_505;511;47.0615;-61.35517;181363;6.45;12-dec-96;00:08:00;30.04;3.63;338.70144;3.905;0.665;2.545;7.649;0.43;0.58
18PZ96058_505;511;47.0615;-61.35517;181364;0.99;12-dec-96;00:08:00;30.04;3.62;337.8529;3.44;0.6;2.34;NaN;0.42;0.56
18PZ96058_506;521;47.14333;-61.494;181365;26.48;12-dec-96;01:10:00;29.91;3.65;337.98688;3.575;0.54;2.155;7.6735;0.35;0.51
18PZ96058_506;521;47.14333;-61.494;181366;18.84;12-dec-96;01:10:00;29.81;3.59;340.3092;4.205;0.605;2.4;7.664;0.59;0.61
18PZ96058_506;521;47.14333;-61.494;181367;3.97;12-dec-96;01:10:00;29.77;3.48;344.01598;4.255;0.615;2.38;7.7465;0.32;0.46
18PZ96058_506;521;47.14333;-61.494;181368;0.5;12-dec-96;01:10:00;NaN;NaN;NaN;4.085;0.61;2.255;NaN;0.55;0.63
18PZ96058_507;531;47.225;-61.63333;181369;16.76;12-dec-96;02:18:00;29.57;3.04;348.08004;3.84;0.585;2.16;7.863;0.75;0.88
18PZ96058_507;531;47.225;-61.63333;181370;6.94;12-dec-96;02:18:00;29.56;2.98;350.1344;3.745;0.55;2.14;7.8765;0.78;0.95
18PZ96058_507;531;47.225;-61.63333;181371;0.5;12-dec-96;02:18:00;NaN;NaN;NaN;3.695;0.54;2.12;NaN;0.58;0.72
18PZ96058_508;61;47.18217;-59.79883;182028;431.92;30-nov-96;23:43:00;34.84;5.4;157.6498;34.385;1.74;23.73;3.323;0;0.01
18PZ96058_508;61;47.18217;-59.79883;182029;401.54;30-nov-96;23:43:00;34.83;5.42;157.38184;34.645;1.745;23.615;3.384;0.01;0.01
18PZ96058_508;61;47.18217;-59.79883;182030;352.04;30-nov-96;23:43:00;34.77;5.69;156.66728;28.035;1.525;23.68;3.396;0.01;0.01
18PZ96058_508;61;47.18217;-59.79883;182031;302.04;30-nov-96;23:43:00;34.67;5.91;154.79156;23.37;1.55;22.64;3.57;0;0.01
18PZ96058_508;61;47.18217;-59.79883;182032;251.14;30-nov-96;23:43:00;34.43;5.77;172.74488;19.97;1.385;19.465;3.898;0.01;0.01
18PZ96058_508;61;47.18217;-59.79883;182033;202.2;30-nov-96;23:43:00;33.96;4.72;215.84178;17.885;1.31;16.63;4.652;0.01;0.02
18PZ96058_508;61;47.18217;-59.79883;182034;152.56;30-nov-96;23:43:00;33.01;1.27;292.12106;12.86;1.145;11.605;6.312;0.02;0.03
18PZ96058_508;61;47.18217;-59.79883;182035;102.42;30-nov-96;23:43:00;32.38;1.87;326.06266;5.44;0.86;6.135;7.275;0.06;0.08
18PZ96058_508;61;47.18217;-59.79883;182036;53.25;30-nov-96;23:43:00;31.56;5.68;334.0568;2.415;0.49;1.14;7.327;0.39;0.41
18PZ96058_508;61;47.18217;-59.79883;182037;8.53;30-nov-96;23:43:00;31.49;5.45;338.34416;2.14;0.4;1.805;6.791;NaN;NaN
18PZ96058_508;61;47.18217;-59.79883;182038;24.79;30-nov-96;23:43:00;31.5;5.45;337.89756;2.66;0.48;1.475;7.244;0.35;0.45
18PZ96058_508;61;47.18217;-59.79883;182039;14.87;30-nov-96;23:43:00;31.5;5.45;338.5228;2.485;0.49;1.2;NaN;0.46;0.61
