CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU13008_125;HL_15;40.1481;-59.8488;392824;4499.49;24-may-13;17:32:00;34.8855;2.258;5.8506;NaN;NaN;NaN;NaN;34.8857;NaN;6.126;0.17;18.08;1.3295;32.13
18HU13008_125;HL_15;40.1481;-59.8488;392825;4247.68;24-may-13;17:32:00;34.8899;2.2738;5.8849;NaN;NaN;NaN;NaN;34.889;NaN;6.15267;0.17;17.875;1.304;29.675
18HU13008_125;HL_15;40.1481;-59.8488;392826;4001.8;24-may-13;17:32:00;34.8942;2.3126;5.8622;NaN;NaN;NaN;NaN;34.8932;NaN;6.141;0.17;17.765;1.2955;29.075
18HU13008_125;HL_15;40.1481;-59.8488;392827;3752;24-may-13;17:32:00;34.9016;2.4006;5.932;NaN;NaN;NaN;NaN;34.9018;NaN;6.189;0.17;17.16;1.2805;25.355
18HU13008_125;HL_15;40.1481;-59.8488;392828;3470.92;24-may-13;17:32:00;34.9139;2.5804;5.887;NaN;NaN;NaN;NaN;34.9131;NaN;6.164;0.17;17.385;1.2495;23.695
18HU13008_125;HL_15;40.1481;-59.8488;392829;3180.87;24-may-13;17:32:00;34.925;2.7744;5.8627;NaN;NaN;NaN;NaN;34.9246;NaN;6.168;0.17;17.455;1.2405;21.59
18HU13008_125;HL_15;40.1481;-59.8488;392830;2882.52;24-may-13;17:32:00;34.936;2.9934;5.8426;NaN;NaN;NaN;NaN;34.9365;NaN;6.131;0.17;17.3;1.26;19.735
18HU13008_125;HL_15;40.1481;-59.8488;392831;2570.89;24-may-13;17:32:00;34.9442;3.1955;5.844;NaN;NaN;NaN;NaN;34.9438;NaN;6.102;0;17.165;1.2215;18.105
18HU13008_125;HL_15;40.1481;-59.8488;392832;2279.97;24-may-13;17:32:00;34.9488;3.3887;5.8449;NaN;NaN;NaN;NaN;34.9484;NaN;6.113;0;17.095;1.224;16.075
18HU13008_125;HL_15;40.1481;-59.8488;392833;2000.11;24-may-13;17:32:00;34.9516;3.578;5.8622;NaN;NaN;NaN;NaN;34.9509;NaN;6.137;0.17;17.1;1.229;14.395
18HU13008_125;HL_15;40.1481;-59.8488;392834;1718.29;24-may-13;17:32:00;34.9624;3.836;5.8064;NaN;NaN;NaN;NaN;34.9639;NaN;6.06;0.17;17.075;1.206;13.215
18HU13008_125;HL_15;40.1481;-59.8488;392835;1448.66;24-may-13;17:32:00;34.9736;4.1076;5.7537;NaN;NaN;NaN;NaN;34.9734;NaN;5.913;0;17.025;1.281;12.34
