CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL04524_113;SEGB-01;46.5833;-52.9333;258048;30;18-apr-04;05:34:00;30.25;32.615;8.02060008956561;-0.03;2.96;0.49;4.25;1.78
18TL04524_113;SEGB-01;46.5833;-52.9333;258049;20;18-apr-04;05:34:00;19.92;32.378;7.76085982982535;0.72;1.22;0.26;0.72;6.86
18TL04524_113;SEGB-01;46.5833;-52.9333;258050;10;18-apr-04;05:34:00;9.58;32.371;7.7205553067622;0.74;1.51;0.3;1.11;7.25
18TL04524_113;SEGB-01;46.5833;-52.9333;258051;5;18-apr-04;05:34:00;4.67;32.365;7.7205553067622;0.76;1.96;0.4;1.24;7.04
18TL04524_114;SEGB-19;42.0817;-49.27;258133;1508;20-apr-04;21:59:00;1514.5;34.903;7.48992386923421;3.35;10.9;1.12;17.62;NaN
18TL04524_114;SEGB-19;42.0817;-49.27;258134;149;20-apr-04;21:59:00;150.34;34.59;7.46081504702194;4.12;10.29;1.19;16.83;NaN
18TL04524_114;SEGB-19;42.0817;-49.27;258135;100;20-apr-04;21:59:00;100.72;34.531;7.2794446932378;4.86;9.97;1.15;16.37;0.22
18TL04524_114;SEGB-19;42.0817;-49.27;258136;75;20-apr-04;21:59:00;75.58;34.041;7.21898790864308;2.9;6.83;0.91;11.4;1.56
18TL04524_114;SEGB-19;42.0817;-49.27;258137;50;20-apr-04;21:59:00;49.97;33.773;7.12942230183609;3.57;3.66;0.68;6.52;1.6
18TL04524_114;SEGB-19;42.0817;-49.27;258138;40;20-apr-04;21:59:00;40.09;33.669;6.95029108822212;3.56;2.74;0.64;5.86;1.74
18TL04524_114;SEGB-19;42.0817;-49.27;258139;30;20-apr-04;21:59:00;30.26;33.604;6.4397671294223;3.65;2.71;0.67;4.98;1.99
18TL04524_114;SEGB-19;42.0817;-49.27;258140;20;20-apr-04;21:59:00;20.3;33.483;5.49932825794895;3.66;3.04;0.7;4.79;1.82
18TL04524_114;SEGB-19;42.0817;-49.27;258141;10;20-apr-04;21:59:00;9.94;33.039;5.81952530228392;5.54;1.77;0.35;1.1;1.81
18TL04524_114;SEGB-19;42.0817;-49.27;258142;5;20-apr-04;21:59:00;5.43;33.029;6.86968204209584;5.55;1.49;0.36;0.75;1.73
18TL04524_127;SEGB-20;41.7;-48.95;258143;1487;21-apr-04;02:38:00;1493.4;34.943;6.61889834303627;3.58;NaN;NaN;NaN;NaN
