CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95008_478;391;46.81945;-64.6425;391_15;1.59;20-sep-95;18:03:00;28.05;14.82;267.7367;NaN;0.52667;0.18667;0.45667;0.34667;1.92;1.91
18NE95008_478;391;46.81945;-64.6425;391_16;4.76;20-sep-95;18:03:00;28.05;14.8;263.67264;NaN;0.33;0.19;0.36;0.29;1.78;1.81
18NE95008_478;391;46.81945;-64.6425;391_17;17.95;20-sep-95;18:03:00;28.08;14.76;300.47248;NaN;0.31;0.16;1.06;0.32;2.04;1.92
18NE95008_479;411;46.87055;-64.32888;411_18;1.49;20-sep-95;19:53:00;28.13;15.19;221.24564;NaN;0.63667;0.21333;0.53333;0.34;1.3;1.2
18NE95008_479;411;46.87055;-64.32888;411_19;5.06;20-sep-95;19:53:00;28.13;15.2;234.9116;NaN;0.33;0.19;0.89;0.31;1.2;1.26
18NE95008_479;411;46.87055;-64.32888;411_20;20.43;20-sep-95;19:53:00;28.4;12.31;229.5524;NaN;6.57;0.305;2.435;0.785;3.18667;2.69667
18NE95008_480;421;47.54663;-64.36562;107;0.79;11-sep-95;16:39:00;28.35;9.14;267.60272;NaN;NaN;0.07;1.7;0.37;1.21;1.17
18NE95008_480;421;47.54663;-64.36562;108;5.06;11-sep-95;16:39:00;28.35;13.7;272.8726;6.245;NaN;0.08;1.69;0.37;1.06;1.07
18NE95008_480;421;47.54663;-64.36562;109;14.68;11-sep-95;16:39:00;28.35;13.66;282.20654;6.225;NaN;0.08;1.79;0.36;0.98333;1.07
18NE95008_480;421;47.54663;-64.36562;110;41.55;11-sep-95;16:39:00;30.56;3.95;279.7949;6.065;NaN;0.26;7.78;1.28;0.28;0.37
18NE95008_481;511;47.22888;-64.31362;511_21;1.49;21-sep-95;08:27:00;28.55;13.51;249.2028;NaN;1.07;0.19333;0.24667;0.35333;0.5;0.76
18NE95008_481;511;47.22888;-64.31362;511_22;4.96;21-sep-95;08:27:00;28.56;13.47;261.08236;NaN;0.92;0.14;0.19;0.36;0.82;0.85
18NE95008_481;511;47.22888;-64.31362;511_23;14.97;21-sep-95;08:27:00;28.63;12.54;283.8143;NaN;2.07;0.15;0.18;0.41;1.36333;1.28
18NE95008_481;511;47.22888;-64.31362;511_24;43.53;21-sep-95;08:27:00;30.64;2.25;270.193;NaN;14.42;0.3;7.71;1.32;0.17;0.34
18NE95008_482;551;47.45877;-62.43568;115;0.99;10-sep-95;13:49:00;28.92;14.47;NaN;NaN;2.53;0.1;1.42;0.36;0.67;0.71
18NE95008_482;551;47.45877;-62.43568;116;4.96;10-sep-95;13:49:00;28.93;14.47;269.34446;6.07;1.89;0.09;1.19;0.34;0.45;0.61
18NE95008_482;551;47.45877;-62.43568;117;14.87;10-sep-95;13:49:00;29.17;13.9;272.78328;6.14;2.09;0.11;1.15;0.37;0.74667;0.83333
18NE95008_482;551;47.45877;-62.43568;118;67.52;10-sep-95;13:49:00;31.63;-0.83;243.44166;6.05;19.86;0.22;12.06;1.49;0.04;0.1
18NE95008_483;581;47.72467;-62.38363;119;1.09;12-sep-95;07:15:00;29.49;12.54;296.27444;NaN;2.13;0.13;1.815;0.47;0.59;0.62
18NE95008_483;581;47.72467;-62.38363;120;4.96;12-sep-95;07:15:00;29.49;12.54;353.61788;6.28;1.96;0.08;1.13;0.46;0.72;0.69
18NE95008_483;581;47.72467;-62.38363;121;14.97;12-sep-95;07:15:00;29.49;12.54;317.9792;6.28;2.09;0.08;1.58;0.48;0.69667;0.75333
18NE95008_483;581;47.72467;-62.38363;122;57.61;12-sep-95;07:15:00;31.7;-0.77;280.19684;6.305;17.7;0.16;11.52;1.51;0.03;0.1
18NE95008_484;611;47.41295;-63.42772;123;0.59;10-sep-95;21:44:00;28.91;11.81;282.87644;NaN;2.05;0.125;1.705;0.4;0.95;1.07
18NE95008_484;611;47.41295;-63.42772;124;4.86;10-sep-95;21:44:00;28.91;12.73;292.9696;6.41;2.16;0.11;1.49;0.38;0.83;0.82
18NE95008_484;611;47.41295;-63.42772;125;15.07;10-sep-95;21:44:00;29.02;12.73;275.64152;6.44;1.98;0.11;1.62;0.4;1.16667;1.15
18NE95008_484;611;47.41295;-63.42772;126;74.46;10-sep-95;21:44:00;31.99;-0.48;221.2903;5.505;24.44;0.19;13.21;1.69;0.07;0.16
18NE95008_485;631;47.5984;-63.73545;127;0.99;11-sep-95;20:38:00;NaN;NaN;NaN;NaN;NaN;0.07;1.43;0.42;1.46;1.56
18NE95008_485;631;47.5984;-63.73545;128;4.96;11-sep-95;20:38:00;NaN;NaN;NaN;NaN;NaN;0.08;1.51;0.42;0.95;1
18NE95008_485;631;47.5984;-63.73545;129;14.87;11-sep-95;20:38:00;NaN;NaN;NaN;NaN;NaN;0.09;1.99;0.43;1.13333;1.19
18NE95008_485;631;47.5984;-63.73545;130;58.5;11-sep-95;20:38:00;NaN;NaN;NaN;NaN;NaN;0.21;12.44;1.51;0.04;0.1
18NE95008_486;641;47.74448;-63.08763;131;0.99;12-sep-95;01:50:00;29.16;13.1;NaN;NaN;1.77;0.09;1.64;0.39;0.62;0.65
18NE95008_486;641;47.74448;-63.08763;132;5.16;12-sep-95;01:50:00;29.19;13.12;313.9598;6.27;1.93;0.08;1.34;0.38;0.42;0.56
18NE95008_486;641;47.74448;-63.08763;133;15.17;12-sep-95;01:50:00;29.19;13.12;333.78884;6.26;1.95;0.07;1.4;0.39;0.77667;0.78
18NE95008_486;641;47.74448;-63.08763;134;72.87;12-sep-95;01:50:00;32.04;-0.46;282.65314;5.37;25.11;0.19;13.35;1.72;0.04;0.13
18NE95008_487;731;47.43382;-62.80855;135;0.99;10-sep-95;17:22:00;28.66;14.86;NaN;NaN;1.65;0.10333;10.39333;0.37;0.76;0.77
18NE95008_487;731;47.43382;-62.80855;136;4.86;10-sep-95;17:22:00;28.67;14.86;279.70558;6.05;1.88;0.09;0.83;0.34;0.62;0.62
18NE95008_487;731;47.43382;-62.80855;137;14.87;10-sep-95;17:22:00;28.78;14.62;273.00658;6.07;1.72;0.11;1.77;0.35;0.84667;0.81333
18NE95008_487;731;47.43382;-62.80855;138;46.9;10-sep-95;17:22:00;31.16;-0.68;280.82208;6.705;14.87;0.14;9.8;1.37;0.07;0.12
18NE95008_488;771;47.98635;-63.15892;142;1.78;17-sep-95;01:13:00;29.98;12.37;NaN;NaN;1.79;0.08333;1.01667;0.48333;0.65;0.65
