CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18PZ97042_519;81;47.58394;-59.33365;193671;98.55;16-nov-97;16:52:00;33.07;0.78;279.97354;6.43;12.42;0.12;11.62;1.25;0.02;0.04;0.625
18PZ97042_519;81;47.58394;-59.33365;193672;149.78;16-nov-97;16:52:00;33.46;2.11;251.48046;5.85;13.70333;0.11333;12.30667;1.22333;0.02;0.03;0.601
18PZ97042_519;81;47.58394;-59.33365;193673;197.74;16-nov-97;16:52:00;33.7;3.08;236.29606;5.55;15.48;0.09;15.2;1.34;0.02;0.03;0.712
18PZ97042_519;81;47.58394;-59.33365;193674;233.6;16-nov-97;16:52:00;33.77;3.32;NaN;5.30333340797134;16.31;0.09;15.56;1.36;0.02;0.05;NaN
18PZ97042_520;91;47.99985;-59.50187;193675;5.95;16-nov-97;19:47:00;31.48;6.85;307.97536;6.85;3.8;0.1;0.69;0.45;0.48;0.6;2.038
18PZ97042_520;91;47.99985;-59.50187;193676;15.77;16-nov-97;19:47:00;31.55;6.99;288.99486;6.85;2.27;0.18;0.79;0.5;0.32;0.42;1.37
18PZ97042_520;91;47.99985;-59.50187;193677;25.38;16-nov-97;19:47:00;32.12;3.36;321.46268;7.05;6.64;0.13;4.84;0.92;0.17;0.2;1.15
18PZ97042_520;91;47.99985;-59.50187;193678;49.48;16-nov-97;19:47:00;32.42;2.17;310.1637;6.99;10.405;0.16;7.595;1.095;0.11;0.12;0.935
18PZ97042_520;91;47.99985;-59.50187;193679;99.04;16-nov-97;19:47:00;32.92;1.43;285.02012;6.53;16.82;0.14;11.33;1.22;0.04;0.07;0.819
18PZ97042_520;91;47.99985;-59.50187;193680;149.28;16-nov-97;19:47:00;33.11;1.58;273.27454;6.21;18.62;0.12;13.01;1.29;0.03;0.05;0.758
18PZ97042_520;91;47.99985;-59.50187;193681;163.65;16-nov-97;19:47:00;33.24;1.97;264.56584;6.11666659202866;18.51;0.12;13.22;1.23;0.03;0.05;0.718
