CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU76020_275;41;42.1717;-63.4983;-90;50;05-jul-76;02:47:00;33.96;5.4;7.2;0.58;5.83
18HU76020_275;41;42.1717;-63.4983;-91;75;05-jul-76;02:47:00;34.08;4.8;10.74;0.95;8.42
18HU76020_275;41;42.1717;-63.4983;-92;100;05-jul-76;02:47:00;34.81;4.2;13.87;0.9;7.62
18HU76020_275;41;42.1717;-63.4983;-93;125;05-jul-76;02:47:00;35;3.8;16.94;1.09;10.12
18HU76020_275;41;42.1717;-63.4983;-94;150;05-jul-76;02:47:00;35.21;3.4;19.32;1.33;NaN
18HU76020_276;42;42.3367;-63.5017;-100;100;05-jul-76;05:02:00;34.29;4.7;10.36;0.82;6.96
18HU76020_276;42;42.3367;-63.5017;-101;125;05-jul-76;05:02:00;34.05;4.3;13.73;0.84;9.62
18HU76020_276;42;42.3367;-63.5017;-102;150;05-jul-76;05:02:00;35.2;3.8;13.28;0.88;8.63
18HU76020_276;42;42.3367;-63.5017;-95;10;05-jul-76;05:02:00;31.76;5.6;0.49;0.25;0.8
18HU76020_276;42;42.3367;-63.5017;-96;30;05-jul-76;05:02:00;32.71;5.8;0.25;0.26;2.23
18HU76020_276;42;42.3367;-63.5017;-97;40;05-jul-76;05:02:00;32.78;6;0.24;0.19;2.33
18HU76020_276;42;42.3367;-63.5017;-98;50;05-jul-76;05:02:00;33.77;5.8;1.3;0.42;1.67
18HU76020_276;42;42.3367;-63.5017;-99;75;05-jul-76;05:02:00;33.69;5.2;7.72;0.74;NaN
18HU76020_277;43;42.5;-63.4967;-103;10;05-jul-76;06:45:00;31.98;5.4;0.02;0.26;1.67
