CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL12001_1216;541;47.77967;-64.0285;347137;1.09;11-jun-12;17:32:00;28.51;10.84;311.14622;8.349;NaN;0.705;0.005;0.06;0.185;1.53;1.848
18TL12001_1217;551;47.8315;-64.24717;347138;38.17;11-jun-12;19:53:00;30.84;2.33;326.6879;8.146;7.3135;7.285;0.075;3.8;0.785;0.415;1.036
18TL12001_1217;551;47.8315;-64.24717;347139;25.19;11-jun-12;19:53:00;29.78;5.37;315.03164;8.21;NaN;3.625;0.065;2.17;0.65;0.405;1.605
18TL12001_1217;551;47.8315;-64.24717;347140;15.67;11-jun-12;19:53:00;29.47;7.63;318.24716;8.297;NaN;0.835;0.015;0.48;0.335;0.98;3.636
18TL12001_1217;551;47.8315;-64.24717;347141;5.85;11-jun-12;19:53:00;28.74;9.24;319.7656;8.331;7.2085;0.435;0.01;0.225;0.23;1.23;3.79
18TL12001_1217;551;47.8315;-64.24717;347142;1.29;11-jun-12;19:53:00;28.18;10.38;312.8433;8.344;NaN;0.405;0.01;0.1;0.155;1.145;1.644
18TL12001_1218;571;47.9305;-65.25167;347149;65.73;12-jun-12;06:26:00;31.87;0.58;262.33284;7.916;6.2695;20.665;0.19;11.00667;1.345;0.39;0.755
18TL12001_1218;571;47.9305;-65.25167;347150;49.97;12-jun-12;06:26:00;30.71;0.55;285.6007;7.956;NaN;15.9;0.16333;8.88667;1.23;0.255;0.642
18TL12001_1218;571;47.9305;-65.25167;347151;25.28;12-jun-12;06:26:00;29.54;3.3;333.87816;8.179;NaN;0.595;0.04667;1.91;0.6;0.205;0.904
18TL12001_1218;571;47.9305;-65.25167;347152;15.07;12-jun-12;06:26:00;28.39;7.77;333.43156;8.339;NaN;0.25;0.00667;0.2;0.25;0.72;3.172
18TL12001_1218;571;47.9305;-65.25167;347153;5.85;12-jun-12;06:26:00;27.77;10.42;315.47824;8.371;7.078;0.43;0.00333;0.04;0.11;1.005;2.836
18TL12001_1218;571;47.9305;-65.25167;347154;1.29;12-jun-12;06:26:00;27.75;10.78;313.78116;8.373;NaN;0.37333;0.00333;0.04333;0.125;0.825;2.692
18TL12001_1219;621;47.49983;-64.6705;347160;21.12;13-jun-12;05:12:00;29.65;4.92;300.3385;8.167;6.7;2.94;0.04;1.2;0.445;0.795;2.184
18TL12001_1219;621;47.49983;-64.6705;347161;15.77;13-jun-12;05:12:00;28.73;9.39;290.9599;8.251;NaN;1.57;0.00667;0.18;0.215;0.925;3.233
18TL12001_1219;621;47.49983;-64.6705;347162;5.26;13-jun-12;05:12:00;28.36;11.66;297.97152;8.312;6.709;1.005;0.00333;0.05;0.13333;0.935;3.277
18TL12001_1219;621;47.49983;-64.6705;347163;1.49;13-jun-12;05:12:00;28.36;11.66;297.25696;8.316;NaN;1.03;0;0.04;0.14;0.895;3.244
18TL12001_1220;671;47.50033;-64.25167;347164;49.97;13-jun-12;18:00:00;31.21;-0.13;265.2804;7.839;5.896;16.895;0.135;7.97;1.365;0.22;0.561
18TL12001_1220;671;47.50033;-64.25167;347165;25.58;13-jun-12;18:00:00;30.05;3.39;344.37326;8.239;NaN;0.81;0.025;0.97;0.455;0.395;1.197
18TL12001_1220;671;47.50033;-64.25167;347166;15.37;13-jun-12;18:00:00;29.6;9.51;311.01224;8.311;NaN;0.77;0.005;0.05;0.215;0.675;3.213
18TL12001_1220;671;47.50033;-64.25167;347167;5.85;13-jun-12;18:00:00;28.79;11.01;304.93848;8.333;6.875;0.53;0.005;0.04;0.16;0.755;1.976
18TL12001_1220;671;47.50033;-64.25167;347168;0.89;13-jun-12;18:00:00;28.75;11.19;304.17926;8.333;NaN;0.525;0.005;0.05;0.155;0.56;1.08
18TL12001_1221;681;47.49683;-63.7505;347169;63.65;13-jun-12;20:43:00;31.74;0.11;283.591;7.92;6.421;15.285;0.12;8.175;1.275;0.21;0.459
18TL12001_1221;681;47.49683;-63.7505;347170;50.27;13-jun-12;20:43:00;31.36;0.61;334.32476;8.118;NaN;7.12;0.085;4.905;0.915;0.15;0.431
18TL12001_1221;681;47.49683;-63.7505;347171;25.68;13-jun-12;20:43:00;30.37;3.46;342.45288;8.214;NaN;3.095;0.055;2.59;0.665;0.695;3.273
18TL12001_1221;681;47.49683;-63.7505;347172;14.87;13-jun-12;20:43:00;29.66;9.06;321.86462;8.31;NaN;0.66;0.005;0.07;0.245;1.34;5.197
18TL12001_1221;681;47.49683;-63.7505;347173;5.45;13-jun-12;20:43:00;28.82;10.8;309.9404;8.344;6.9635;0.33;0;0.025;0.195;0.895;2.642
18TL12001_1221;681;47.49683;-63.7505;347174;1.49;13-jun-12;20:43:00;28.82;10.81;309.40448;8.349;NaN;0.28;0;0.025;0.195;0.92;1.952
