CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU10070_1125;201;47.50033;-63.248;344806;51.06;10-nov-10;12:35:00;31.72;2.26;296.00648;8.081;6.572;0.065;0.855;6.47;8.54;NaN;NaN;NaN;0.145;0.063
18HU10070_1125;201;47.50033;-63.248;344807;23.6;10-nov-10;12:35:00;30.41;6.25;319.67628;8.206;7.067;0.12;0.48;2.36;3.24;NaN;NaN;NaN;0.485;0.142
18HU10070_1125;201;47.50033;-63.248;344808;15.37;10-nov-10;12:35:00;30.41;6.25;319.7656;8.205;7.056;0.12;0.48;2.335;3.1;NaN;NaN;NaN;0.525;0.143
18HU10070_1125;201;47.50033;-63.248;344809;5.26;10-nov-10;12:35:00;30.41;6.25;321.64132;8.205;7.113;0.125;0.48;2.375;3.075;NaN;NaN;NaN;0.48;0.147
18HU10070_1125;201;47.50033;-63.248;344810;1.59;10-nov-10;12:35:00;20.94;6.1;344.86452;8.2;7.114;0.12;0.46667;2.22;3.055;NaN;NaN;NaN;0.26;0.091
18HU10070_1126;21;44.26783;-63.3205;344659;122.96;07-nov-10;04:09:00;33.55;6.07;215.21654;NaN;4.725;NaN;NaN;NaN;12.44;0.025;13.375;1.23;NaN;0.039
18HU10070_1126;21;44.26783;-63.3205;344660;99.37;07-nov-10;04:09:00;32.6;2.83;265.10176;NaN;5.802;NaN;NaN;NaN;11.41;0.01;10.655;1.165;0.045;0.043
18HU10070_1126;21;44.26783;-63.3205;344661;81.03;07-nov-10;04:09:00;32.46;2.87;271.17552;NaN;NaN;NaN;NaN;NaN;10.28;0.01;9.925;1.115;0.055;0.045
18HU10070_1126;21;44.26783;-63.3205;344662;60.4;07-nov-10;04:09:00;32.06;4.1;282.74246;NaN;NaN;NaN;NaN;NaN;7.715;0.02;7.175;0.93;0.05;0.05
18HU10070_1126;21;44.26783;-63.3205;344663;50.68;07-nov-10;04:09:00;31.95;6.16;273.05124;NaN;5.969;NaN;NaN;NaN;5.865;0.03;6.28;0.85;0.085;0.065
18HU10070_1126;21;44.26783;-63.3205;344664;40.37;07-nov-10;04:09:00;31.3;7.25;274.34638;NaN;NaN;NaN;NaN;NaN;5.37;0.06;4.435;0.635;0.13;0.069
18HU10070_1126;21;44.26783;-63.3205;344665;31.34;07-nov-10;04:09:00;30.13;9.76;295.73852;NaN;6.464;NaN;NaN;NaN;3.15;0.095;1.215;0.395;0.79;0.294
18HU10070_1126;21;44.26783;-63.3205;344666;20.33;07-nov-10;04:09:00;30.09;9.89;297.30162;NaN;NaN;NaN;NaN;NaN;3.34;0.095;1.19;0.385;1.03;0.372
18HU10070_1126;21;44.26783;-63.3205;344667;10.02;07-nov-10;04:09:00;30.08;9.91;297.92686;NaN;6.47;NaN;NaN;NaN;3.295;0.095;1.175;0.385;1.07;0.362
18HU10070_1126;21;44.26783;-63.3205;344668;5.06;07-nov-10;04:09:00;30.08;9.92;297.70356;NaN;6.524;NaN;NaN;NaN;3.205;0.1;1.175;0.39;1.035;0.341
18HU10070_1127;211;47.66067;-63.74833;344811;57.8;10-nov-10;16:02:00;31.63;2.85;290.55796;8.064;6.4;0.145;0.905;7.915;10.29;NaN;NaN;NaN;0.08;0.064
18HU10070_1127;211;47.66067;-63.74833;344812;50.47;10-nov-10;16:02:00;31.1;4.54;296.27444;8.121;6.544;0.2;0.73;5.63;7.03;NaN;NaN;NaN;0.1;0.066
18HU10070_1127;211;47.66067;-63.74833;344813;23.8;10-nov-10;16:02:00;29.63;6.07;322.2219;8.187;7.138;0.165;0.595;4.44;5.965;NaN;NaN;NaN;0.415;0.157
18HU10070_1127;211;47.66067;-63.74833;344814;15.17;10-nov-10;16:02:00;29.61;6.06;322.53452;8.187;7.125;0.165;0.59;4.495;5.965;NaN;NaN;NaN;0.33;0.16
18HU10070_1127;211;47.66067;-63.74833;344815;4.46;10-nov-10;16:02:00;29.62;6.07;323.15976;8.187;7.157;0.165;0.6;4.5;5.945;NaN;NaN;NaN;0.48;0.161
18HU10070_1127;211;47.66067;-63.74833;344816;2.68;10-nov-10;16:02:00;29.61;6.07;326.41994;8.187;NaN;0.165;0.58;4.53;6;NaN;NaN;NaN;0.56;0.156
18HU10070_1128;221;47.7415;-63.99733;344817;77.04;10-nov-10;17:47:00;31.84;2.08;272.24736;8.004;6.0165;0.14;1.125;9.945;15.455;NaN;NaN;NaN;0.195;0.08
18HU10070_1128;221;47.7415;-63.99733;344818;51.06;10-nov-10;17:47:00;30.67;6;291.76378;8.15;6.478;0.23;0.645;3.9;6.345;NaN;NaN;NaN;0.17;0.079
18HU10070_1128;221;47.7415;-63.99733;344819;24.49;10-nov-10;17:47:00;29.53;6.95;316.50542;8.212;6.991;0.12;0.465;2.55;4.105;NaN;NaN;NaN;0.665;0.209
18HU10070_1128;221;47.7415;-63.99733;344820;15.57;10-nov-10;17:47:00;29.53;6.95;317.26464;8.212;6.985;0.125;0.495;2.375;4.075;NaN;NaN;NaN;0.69;0.209
18HU10070_1128;221;47.7415;-63.99733;344821;4.66;10-nov-10;17:47:00;29.53;6.96;320.39084;8.213;7.058;0.125;0.51;2.395;4.045;NaN;NaN;NaN;0.625;0.205
18HU10070_1128;221;47.7415;-63.99733;344822;3.77;10-nov-10;17:47:00;29.53;6.96;321.86462;8.212;7.064;0.125;0.47;2.345;4.155;NaN;NaN;NaN;0.67;0.201
18HU10070_1129;231;47.8315;-64.24767;344823;36.29;10-nov-10;19:27:00;29.75;5.66;325.83936;8.189;7.1795;0.175;0.66;4.895;6.27;NaN;NaN;NaN;0.6;0.181
18HU10070_1129;231;47.8315;-64.24767;344824;24.29;10-nov-10;19:27:00;29.75;5.66;324.94616;8.189;7.186;0.17667;0.65;4.78667;6.26;NaN;NaN;NaN;0.59;0.18
18HU10070_1129;231;47.8315;-64.24767;344825;14.87;10-nov-10;19:27:00;29.75;5.65;328.42964;8.189;7.253;0.17;0.605;4.755;6.28;NaN;NaN;NaN;0.51;0.181
18HU10070_1129;231;47.8315;-64.24767;344826;5.06;10-nov-10;19:27:00;29.75;5.66;326.59858;8.189;7.23;0.17;0.605;4.825;6.3;NaN;NaN;NaN;0.515;0.183
18HU10070_1129;231;47.8315;-64.24767;344827;2.28;10-nov-10;19:27:00;29.75;5.66;326.4646;8.189;7.23;0.19;0.66;4.92;6.415;NaN;NaN;NaN;0.53;0.184
18HU10070_1130;31;43.87867;-62.87767;344669;218.22;07-nov-10;08:29:00;35.09;10.45;155.01486;NaN;3.373;NaN;NaN;NaN;14.755;0.015;18.895;1.32;NaN;0.023
18HU10070_1130;31;43.87867;-62.87767;344670;198.6;07-nov-10;08:29:00;35.07;10.47;158.0964;NaN;3.451;NaN;NaN;NaN;13.88;0.015;18.61;1.315;NaN;0.024
18HU10070_1130;31;43.87867;-62.87767;344671;97.59;07-nov-10;08:29:00;34.47;9.43;197.53118;NaN;4.343;NaN;NaN;NaN;9.27;0.015;13.73;1.08;0.015;0.028
18HU10070_1130;31;43.87867;-62.87767;344672;81.33;07-nov-10;08:29:00;33.86;7.46;218.78934;NaN;NaN;NaN;NaN;NaN;9.18;0.02;12.485;1.09;0.02;0.032
18HU10070_1130;31;43.87867;-62.87767;344673;60.5;07-nov-10;08:29:00;32.96;4.99;262.51148;NaN;NaN;NaN;NaN;NaN;6.76;0.025;9.18;0.99;0.05;0.051
18HU10070_1130;31;43.87867;-62.87767;344674;49.69;07-nov-10;08:29:00;32.82;5.61;273.7658;NaN;6.024;NaN;NaN;NaN;5.545;0.03;7.28;0.885;0.08;0.059
18HU10070_1130;31;43.87867;-62.87767;344675;39.87;07-nov-10;08:29:00;32.72;9.04;269.70174;NaN;NaN;NaN;NaN;NaN;3.775;0.055;4.44;0.665;0.11;0.069
18HU10070_1130;31;43.87867;-62.87767;344676;29.26;07-nov-10;08:29:00;31.11;11.94;281.44732;NaN;6.18;NaN;NaN;NaN;2.11;0.07;0.32;0.29;0.69;0.281
18HU10070_1130;31;43.87867;-62.87767;344677;19.44;07-nov-10;08:29:00;31.03;11.94;282.87644;NaN;NaN;NaN;NaN;NaN;2.035;0.065;0.205;0.275;0.855;0.302
18HU10070_1130;31;43.87867;-62.87767;344678;9.72;07-nov-10;08:29:00;30.94;11.83;286.44924;NaN;6.27;NaN;NaN;NaN;1.905;0.07;0.23;0.285;0.93;0.321
18HU10070_1130;31;43.87867;-62.87767;344679;3.47;07-nov-10;08:29:00;30.93;11.83;284.7075;NaN;6.265;NaN;NaN;NaN;2.055;0.07;0.215;0.255;0.915;0.31
18HU10070_1131;41;43.48067;-62.44767;344680;63.58;07-nov-10;13:46:00;33.68;7.78;239.51158;NaN;5.228;NaN;NaN;NaN;8.425;0.04;9.53;0.91;0.135;0.055
18HU10070_1131;41;43.48067;-62.44767;344681;59.02;07-nov-10;13:46:00;33.69;7.83;238.88634;NaN;NaN;NaN;NaN;NaN;8.06;0.04;9.53;0.92;0.125;0.052
18HU10070_1131;41;43.48067;-62.44767;344682;50.59;07-nov-10;13:46:00;33.65;7.77;241.20866;NaN;5.392;NaN;NaN;NaN;7.465;0.03;9.205;0.905;0.05;0.045
18HU10070_1131;41;43.48067;-62.44767;344683;39.38;07-nov-10;13:46:00;33.06;12.86;251.8824;NaN;NaN;NaN;NaN;NaN;3.275;0.11;2.965;0.465;0.125;0.067
18HU10070_1131;41;43.48067;-62.44767;344684;29.66;07-nov-10;13:46:00;32.14;12.96;273.89978;NaN;6.035;NaN;NaN;NaN;2.31;0.08;0.285;0.28;0.89;0.306
18HU10070_1131;41;43.48067;-62.44767;344685;20.14;07-nov-10;13:46:00;32.11;13.05;274.2124;NaN;6.021;NaN;NaN;NaN;2.17;0.08;0.24;0.27;0.95;0.336
18HU10070_1131;41;43.48067;-62.44767;344686;9.92;07-nov-10;13:46:00;32.1;13.14;275.01628;NaN;6.051;NaN;NaN;NaN;2.105;0.09;0.245;0.26;0.915;0.307
18HU10070_1131;41;43.48067;-62.44767;344687;4.36;07-nov-10;13:46:00;32.1;13.12;274.2124;NaN;6.0395;NaN;NaN;NaN;2.005;0.085;0.25;0.26;0.9;0.3
18HU10070_1132;51;43.17817;-62.09667;344688;75.88;07-nov-10;16:46:00;33.87;8.02;241.3873;NaN;5.4595;NaN;NaN;NaN;7.6;0.04;9.14;0.875;0.12;0.051
18HU10070_1132;51;43.17817;-62.09667;344689;59.81;07-nov-10;16:46:00;33.39;7.46;261.9309;NaN;5.852;NaN;NaN;NaN;5.895;0.025;7.4;0.81;0.09;0.05
18HU10070_1132;51;43.17817;-62.09667;344690;50.89;07-nov-10;16:46:00;33.46;10.71;250.3193;NaN;5.543;NaN;NaN;NaN;4.135;0.06;5.475;0.64;0.12;0.058
18HU10070_1132;51;43.17817;-62.09667;344691;39.28;07-nov-10;16:46:00;33.29;12.92;248.3096;NaN;NaN;NaN;NaN;NaN;3.025;0.19;3.38;0.475;0.18;0.069
