CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_263;39;40;-50.22;66660;20;24-jan-90;20:37:00;20;18.626;36.577;5.188;1.04;0.15;1.75
89037_265;40;39.67;-50.24;66661;5382;25-jan-90;01:27:00;5493;2.277;34.876;6.095;35.7;1.16;17.56
89037_265;40;39.67;-50.24;66662;4482;25-jan-90;01:27:00;4565;2.322;34.895;6.224;26.66;1.27;18.42
89037_265;40;39.67;-50.24;66663;3976;25-jan-90;01:27:00;4045;2.447;34.912;6.269;23;1.25;18.16
89037_265;40;39.67;-50.24;66664;2977;25-jan-90;01:27:00;3021;3.262;34.954;6.143;17.11;1.22;18.57
89037_265;40;39.67;-50.24;66665;1982;25-jan-90;01:27:00;2007;3.952;34.962;6.141;12.46;1.19;18.45
89037_265;40;39.67;-50.24;66666;1052;25-jan-90;01:27:00;1063;7.092;NaN;NaN;NaN;NaN;NaN
89037_265;40;39.67;-50.24;66667;757;25-jan-90;01:27:00;764;12.877;NaN;NaN;13.72;1.19;17.45
89037_265;40;39.67;-50.24;66668;504;25-jan-90;01:27:00;508;16.637;36.274;4.451;2.54;0.43;7.33
89037_265;40;39.67;-50.24;66669;260;25-jan-90;01:27:00;262;18.459;36.543;4.659;1.18;0.18;3.16
89037_265;40;39.67;-50.24;66670;19;25-jan-90;01:27:00;19;18.696;36.544;5.147;0.96;0.12;1.49
89037_275;41;39.43;-50.24;66671;5358;25-jan-90;06:48:00;5468;2.289;34.885;6.008;36.83;1.36;20.39
89037_275;41;39.43;-50.24;66672;4796;25-jan-90;06:48:00;4888;2.301;34.897;6.115;31.22;1.3;19.24
89037_275;41;39.43;-50.24;66673;4263;25-jan-90;06:48:00;4340;2.34;34.908;6.213;25.4;1.21;18.18
89037_275;41;39.43;-50.24;66674;1772;25-jan-90;06:48:00;1793;4.132;34.983;6.014;11.7;1.21;18.64
89037_275;41;39.43;-50.24;66675;988;25-jan-90;06:48:00;998;8.336;35.164;4.025;12.21;1.31;21.78
89037_275;41;39.43;-50.24;66676;697;25-jan-90;06:48:00;704;13.187;35.693;4.03;4.61;0.68;11.19
