CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA70002_1876;242;46.93333;-61.91389;2256;0;16-jul-70;12:43:00;0.43;8.99;29.63;14.54;0.23;0.22;1.6
18VA70002_1876;242;46.93333;-61.91389;2257;3;16-jul-70;12:43:00;0.47;NaN;NaN;NaN;NaN;NaN;NaN
18VA70002_1876;242;46.93333;-61.91389;2258;5;16-jul-70;12:43:00;0.44;9.02;29.64;14.46;0.19;0.09;2.23
18VA70002_1876;242;46.93333;-61.91389;2259;10;16-jul-70;12:43:00;0.63;NaN;NaN;NaN;NaN;NaN;NaN
18VA70002_1876;242;46.93333;-61.91389;2260;15;16-jul-70;12:43:00;NaN;8.83;30.62;5.96;0.45;0.22;2.1
18VA70002_1876;242;46.93333;-61.91389;2261;20;16-jul-70;12:43:00;1.2;NaN;NaN;NaN;NaN;NaN;NaN
18VA70002_1876;242;46.93333;-61.91389;2262;25;16-jul-70;12:43:00;NaN;8.83;30.85;0.54;0.91;2.69;1.69
18VA70002_1876;242;46.93333;-61.91389;2263;50;16-jul-70;12:43:00;NaN;8.37;31.05;2.71;0.79;4.15;2.74
18VA70002_1877;243;46.93333;-61.91389;2327;0;25-aug-70;20:47:00;0.93;NaN;28.12;17.5;0.32;0.52;1.64
18VA70002_1877;243;46.93333;-61.91389;2328;5;25-aug-70;20:47:00;0.93;NaN;28.14;17.38;0.2;0.28;1.53
18VA70002_1877;243;46.93333;-61.91389;2329;15;25-aug-70;20:47:00;1.01;NaN;30.44;5.1;0.42;0.23;2.06
18VA70002_1877;243;46.93333;-61.91389;2330;25;25-aug-70;20:47:00;0.19;NaN;30.84;1.1;0.66;1.96;1.34
18VA70002_1877;243;46.93333;-61.91389;2331;50;25-aug-70;20:47:00;NaN;NaN;NaN;NaN;1.13;6.37;6.94
18VA70002_1878;244;46.93333;-61.91389;2528;0;12-nov-70;13:49:00;0.51;NaN;NaN;NaN;0.36;1.33;3.64
18VA70002_1878;244;46.93333;-61.91389;2530;5;12-nov-70;13:49:00;0.55;NaN;NaN;NaN;0.32;1.17;3.7
18VA70002_1878;244;46.93333;-61.91389;2533;15;12-nov-70;13:49:00;0.54;NaN;NaN;NaN;0.33;1.57;3.88
18VA70002_1878;244;46.93333;-61.91389;2534;25;12-nov-70;13:49:00;0.35;NaN;30.37;5.6;0.58;2.19;3.92
18VA70002_1878;244;46.93333;-61.91389;2536;50;12-nov-70;13:49:00;0.24;NaN;NaN;NaN;0.87;10.91;7.88
18VA70002_1879;31;47.40833;-59.65;31_21;0;22-apr-70;11:20:00;1.88;NaN;31.89;NaN;0.31;0.02;0.47
18VA70002_1879;31;47.40833;-59.65;31_22;5;22-apr-70;11:20:00;2.25;NaN;31.89;1.5;0.36;0.02;0.66
18VA70002_1879;31;47.40833;-59.65;31_24;15;22-apr-70;11:20:00;2.32;NaN;31.89;1.49;0.26;0.02;0.21
18VA70002_1879;31;47.40833;-59.65;31_25;25;22-apr-70;11:20:00;2;NaN;31.89;1.54;0.42;0;0.45
18VA70002_1879;31;47.40833;-59.65;31_26;100;22-apr-70;11:20:00;NaN;NaN;32.93;1.7;1.02;9.1;6.76
18VA70002_1879;31;47.40833;-59.65;31_27;300;22-apr-70;11:20:00;NaN;NaN;34.56;5.28;1.4;9.4;13.11
18VA70002_1879;31;47.40833;-59.65;31_28;400;22-apr-70;11:20:00;NaN;NaN;34.72;4.61;1.25;13.1;19.89
18VA70002_1880;32;47.40833;-59.65;32_55;0;14-may-70;20:50:00;0.39;NaN;31.5;3.99;0.65;0.11;0.66
18VA70002_1880;32;47.40833;-59.65;32_56;5;14-may-70;20:50:00;0.27;NaN;31.49;3.97;0.56;0.11;4.27
18VA70002_1880;32;47.40833;-59.65;32_57;15;14-may-70;20:50:00;0.23;NaN;31.68;3.01;0.34;0.18;0.32
18VA70002_1880;32;47.40833;-59.65;32_58;25;14-may-70;20:50:00;0.39;NaN;31.67;2.55;0.39;0.2;0.62
18VA70002_1880;32;47.40833;-59.65;32_59;100;14-may-70;20:50:00;NaN;NaN;32.37;1.38;0.53;4.89;4.91
18VA70002_1880;32;47.40833;-59.65;32_60;300;14-may-70;20:50:00;NaN;NaN;34.5;5.15;1.5;19.5;15.75
18VA70002_1880;32;47.40833;-59.65;32_61;400;14-may-70;20:50:00;NaN;NaN;34.7;4.56;1.34;19.99;26.04
18VA70002_1881;33;47.40833;-59.65;105;0;02-jul-70;10:15:00;0.19;NaN;31.59;9.41;0.38;0.22;0.98
18VA70002_1881;33;47.40833;-59.65;106;5;02-jul-70;10:15:00;0.17;NaN;31.61;9.39;0.38;0.11;0.65
18VA70002_1881;33;47.40833;-59.65;107;15;02-jul-70;10:15:00;0.23;NaN;31.73;8.43;0.37;0.26;0.63
18VA70002_1881;33;47.40833;-59.65;108;25;02-jul-70;10:15:00;0.5;NaN;32.16;3.67;0.46;0.79;1.15
18VA70002_1881;33;47.40833;-59.65;109;35;02-jul-70;10:15:00;0.33;NaN;32.31;2.24;0.51;2.43;3.24
18VA70002_1881;33;47.40833;-59.65;110;50;02-jul-70;10:15:00;NaN;NaN;32.32;1.52;0.69;3.19;2.7
18VA70002_1881;33;47.40833;-59.65;111;100;02-jul-70;10:15:00;NaN;NaN;33.22;2.16;1.13;10.37;10.79
18VA70002_1881;33;47.40833;-59.65;112;400;02-jul-70;10:15:00;NaN;NaN;NaN;NaN;1.62;19.74;22.83
18VA70002_1882;34;47.40833;-59.65;113;0;28-jul-70;18:00:00;0.1;NaN;31.37;16.5;0.36;0.24;0.84
18VA70002_1882;34;47.40833;-59.65;114;5;28-jul-70;18:00:00;0.1;NaN;31.33;16;0.31;0;0.97
18VA70002_1882;34;47.40833;-59.65;115;15;28-jul-70;18:00:00;0.26;NaN;31.62;13;0.36;0.02;0.95
18VA70002_1882;34;47.40833;-59.65;116;25;28-jul-70;18:00:00;0.23;NaN;31.89;6.6;0.39;0.02;0.95
18VA70002_1882;34;47.40833;-59.65;117;50;28-jul-70;18:00:00;NaN;NaN;32.38;2.4;0.82;4.68;3.44
18VA70002_1882;34;47.40833;-59.65;118;75;28-jul-70;18:00:00;NaN;NaN;32.66;2.5;0.91;9.45;5.65
18VA70002_1882;34;47.40833;-59.65;119;100;28-jul-70;18:00:00;NaN;NaN;33;2.6;1.04;10.95;9.52
18VA70002_1882;34;47.40833;-59.65;120;400;28-jul-70;18:00:00;NaN;NaN;34.73;NaN;1.65;19.99;26.63
18VA70002_1883;35;47.40833;-59.65;149;0;02-nov-70;17:31:00;0.57;NaN;NaN;NaN;0.24;0.35;0.9
18VA70002_1883;35;47.40833;-59.65;150;5;02-nov-70;17:31:00;0.57;NaN;NaN;NaN;0.3;0.42;1.14
18VA70002_1883;35;47.40833;-59.65;151;15;02-nov-70;17:31:00;0.57;NaN;NaN;NaN;0.39;0.35;1.29
18VA70002_1883;35;47.40833;-59.65;152;25;02-nov-70;17:31:00;0.55;NaN;NaN;NaN;0.51;0.44;1.4
18VA70002_1883;35;47.40833;-59.65;153;50;02-nov-70;17:31:00;0.11;NaN;32.3;2.28;0.75;4.66;4.1
18VA70002_1884;41;47.57861;-59.425;41_29;0;21-apr-70;14:00:00;2.08;8.17;31.86;NaN;0.65;0.17;0.58
