CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18NA96022_215;CAST#1;46.1342;-60.6052;175753;27;24-sep-96;12:26:00;25.448;16.121;5.489;4.17;0.141;0.3185;0.45;0.801
18NA96022_215;CAST#1;46.1342;-60.6052;175754;2;24-sep-96;12:26:00;24.303;15.659;5.652;4.545;0.122;0.248;0.27;0.8811
18NA96022_225;CAST#1;46.0148;-60.7457;175671;110;22-sep-96;11:55:00;25.594;0.525;7.312;9.57;0.0985;0.806;6.69;NaN
18NA96022_225;CAST#1;46.0148;-60.7457;175672;90;22-sep-96;11:55:00;25.578;0.732;7.276;9.36;0.0915;0.812;6.59;NaN
18NA96022_225;CAST#1;46.0148;-60.7457;175673;65;22-sep-96;11:55:00;25.261;4.603;6.499;8.295;0.0975;0.727;5.66;NaN
18NA96022_225;CAST#1;46.0148;-60.7457;175674;30;22-sep-96;11:55:00;24.848;7.842;6.079;7.095;0.1275;0.612;4.05;0.0801
18NA96022_225;CAST#1;46.0148;-60.7457;175675;1;22-sep-96;11:55:00;22.752;15.521;5.922;3.555;0.159;0.234;0.12;0.4005
18NA96022_225;CAST#1;46.0148;-60.7457;175676;7;22-sep-96;11:55:00;22.766;15.562;5.929;3.495;0.0745;0.213;0.05;1.2015
18NA96022_226;CAST#1;46.212;-60.5177;175755;72;24-sep-96;13:11:00;27.189;14.169;5.81;3.395;0.155;0.379;0.6;NaN
18NA96022_226;CAST#1;46.212;-60.5177;175756;32;24-sep-96;13:11:00;26.3;14.847;5.749;3.13;0.1665;0.266;0.46;0.9612
18NA96022_226;CAST#1;46.212;-60.5177;175757;9;24-sep-96;13:11:00;25.435;15.708;5.674;3.65;0.191;0.276;0.27;0.6408
18NA96022_237;CAST#1;46.2423;-60.4855;175758;27;24-sep-96;13:39:00;28.484;13.102;5.937;3.085;0.152;0.4265;0.76;0.9612
18NA96022_237;CAST#1;46.2423;-60.4855;175759;7;24-sep-96;13:39:00;27.183;14.128;5.884;3.315;0.1555;0.3715;0.63;0.3204
18NA96022_237;CAST#1;46.2423;-60.4855;175760;1;24-sep-96;13:39:00;26.33;14.716;5.767;3.64;0.153;0.288;0.36;1.5219
18NA96022_239;CAST#1;46.289;-60.4168;175761;7;24-sep-96;14:08:00;28.563;12.91;6.047;3.1;0.1855;0.445;0.67;0.4806
18NA96022_239;CAST#1;46.289;-60.4168;175762;1;24-sep-96;14:08:00;28.461;12.983;6.032;3.195;0.2085;0.378;0.69;0.3204
18NA96022_243;CAST#1;46.236;-60.5;175763;14;24-sep-96;15:04:00;26.588;14.768;4.913;4.375;0.2005;0.3945;0.565;0.7209
18NA96022_243;CAST#1;46.236;-60.5;175764;5;24-sep-96;15:04:00;25.861;15.288;6.571;3.75;0.1665;0.3155;0.33;0.9612
18NA96022_243;CAST#1;46.236;-60.5;175765;1;24-sep-96;15:04:00;25.47;15.598;5.734;3.73;0.17;0.295;0.29;0.6408
