CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU98051_544;861;47.48317;-59.44633;208914;347.78;10-nov-98;11:19:00;34.8;5.13;191.85936;4.622;22.97;0.08;19.16;2.25;NaN;NaN;0.616
18HU98051_544;861;47.48317;-59.44633;208915;297.18;10-nov-98;11:19:00;34.73;5.47;187.08074;4.195;21.63;0.07;24.81;2.33;0;0.02;0.647
18HU98051_544;861;47.48317;-59.44633;208916;249.05;10-nov-98;11:19:00;34.56;5.71;180.51572;3.959;20.72;0.05;22.45;1.66;0.01;0.02;0.524
18HU98051_544;861;47.48317;-59.44633;208917;199.03;10-nov-98;11:19:00;34.33;5.66;201.05932;4.515;15.59;0.07;20.39;1.69;0;0.02;0.456
18HU98051_544;861;47.48317;-59.44633;208918;148.79;10-nov-98;11:19:00;33.64;3.66;248.62222;5.163;15.6;0.07;16.48;1.99;0.01;0.02;0.495
18HU98051_544;861;47.48317;-59.44633;208919;99.54;10-nov-98;11:19:00;32.85;1.35;277.96384;6.466;8.87;0.07;11.84;1.59;0.04;0.05;0.772
18HU98051_544;861;47.48317;-59.44633;208920;49.97;10-nov-98;11:19:00;31.87;5.37;288.057;6.766;3.56;0.26;4.57;1.05;0.34;0.36;1.336
18HU98051_544;861;47.48317;-59.44633;208921;24.99;10-nov-98;11:19:00;31.08;7.04;303.33072;6.655;3.33;0.15;2.05;0.68;0.49;0.51;1.845
18HU98051_544;861;47.48317;-59.44633;208922;14.97;10-nov-98;11:19:00;30.46;6.99;313.0666;6.789;4.03;0.19;1.85;0.95;0.92;1.02;3.312
18HU98051_544;861;47.48317;-59.44633;208923;5.45;10-nov-98;11:19:00;30.44;6.96;315.16562;6.82;3.9;0.15;1.67;0.77;1.21;1.29;3.33
18HU98051_545;871;47.38367;-59.563;208924;464.07;10-nov-98;12:47:00;34.83;4.9;186.14288;4.103;34.66;0.07;24.9;2.15;0.01;0.02;0.51
18HU98051_545;871;47.38367;-59.563;208925;396.38;10-nov-98;12:47:00;34.83;4.97;186.85744;4.026;29.51;0.08;26.21;2.36;0;0.01;0.472
18HU98051_545;871;47.38367;-59.563;208926;347.09;10-nov-98;12:47:00;34.78;5.19;179.66718;3.892;28.66;0.04;17.24;1.29;0;0.01;0.526
18HU98051_545;871;47.38367;-59.563;208927;296.99;10-nov-98;12:47:00;34.67;5.38;167.475;3.64;26.6;0.05;21.64;1.64;0;0.01;0.502
18HU98051_545;871;47.38367;-59.563;208928;246.18;10-nov-98;12:47:00;34.47;5.3;170.6012;3.53;25.15;0.06;21.66;1.75;0.01;0.01;0.48
18HU98051_545;871;47.38367;-59.563;208929;195.76;10-nov-98;12:47:00;34.3;5.8;214.90392;4.667;14.75;0.06;17.5;1.39;0.01;0.01;0.434
18HU98051_545;871;47.38367;-59.563;208930;148.5;10-nov-98;12:47:00;33.61;3.56;247.23776;5.62;12.56;0.06;13.95;1.27;0.01;0.02;0.735
18HU98051_545;871;47.38367;-59.563;208931;98.45;10-nov-98;12:47:00;32.84;1.27;277.87452;6.77;7.74;0.06;9.18;1.08;0.03;0.04;0.771
18HU98051_545;871;47.38367;-59.563;208932;49.08;10-nov-98;12:47:00;32.13;1.51;279.7949;6.825;8.74;0.06;7.68;1.03;0.09;0.12;0.819
18HU98051_545;871;47.38367;-59.563;208933;24.39;10-nov-98;12:47:00;30.56;5.19;263.76196;6.085;9.82;0.15;7.31;1;0.19;0.26;1.229
18HU98051_545;871;47.38367;-59.563;208934;14.68;10-nov-98;12:47:00;29.63;7.66;288.2803;6.544;4.74;0.14;2;0.57;0.42;0.51;1.53
18HU98051_545;871;47.38367;-59.563;208935;4.96;10-nov-98;12:47:00;29.64;7.65;301.32102;6.575;4.88;0.13;1.84;0.56;0.46;0.54;1.608
18HU98051_546;881;47.28383;-59.68233;208936;464.07;10-nov-98;14:36:00;34.83;4.93;182.52542;4.053;31.4;0.07;22.11;1.76;0.01;0.02;0.501
18HU98051_546;881;47.28383;-59.68233;208937;398.46;10-nov-98;14:36:00;34.82;5.02;182.8827;3.975;30.85;0.06;22.31;1.76;0.01;0.01;0.469
18HU98051_546;881;47.28383;-59.68233;208938;347.58;10-nov-98;14:36:00;34.77;5.21;174.6206;3.176;27.02;0.06;22.97;1.72;0;0.01;0.435
18HU98051_546;881;47.28383;-59.68233;208939;297.48;10-nov-98;14:36:00;34.69;5.39;167.38568;3.695;25.87;0.06;22.67;1.71;0;0.01;0.433
18HU98051_546;881;47.28383;-59.68233;208940;248.46;10-nov-98;14:36:00;34.51;5.43;173.5041;3.662;23.505;0.06;21.98;1.645;0.01;0.01;0.5
18HU98051_546;881;47.28383;-59.68233;208941;198.83;10-nov-98;14:36:00;34.35;5.81;205.2127;4.561;16.18;0.06;18.17;1.37;0.01;0.02;0.448
18HU98051_546;881;47.28383;-59.68233;208942;149.29;10-nov-98;14:36:00;33.68;3.76;238.61838;5.504;13.67;0.05;14.2;1.25;0.01;0.02;0.512
18HU98051_546;881;47.28383;-59.68233;208943;99.34;10-nov-98;14:36:00;32.88;1.56;278.05316;6.791;7.32;0.05;8.65;1.03;0.03;0.05;0.601
18HU98051_546;881;47.28383;-59.68233;208944;49.38;10-nov-98;14:36:00;32.06;1.6;287.25312;6.7;9.29;0.06;8.35;1.06;0.09;0.11;0.824
18HU98051_546;881;47.28383;-59.68233;208945;24.49;10-nov-98;14:36:00;29.98;7.1;297.48026;6.645;4.52;0.15;2.24;0.53;0.18;0.23;1.188
18HU98051_546;881;47.28383;-59.68233;208946;13.98;10-nov-98;14:36:00;29.39;7.54;299.08802;6.627;4.09;0.11;1.44;0.45;0.46;0.52;1.703
18HU98051_546;881;47.28383;-59.68233;208947;4.96;10-nov-98;14:36:00;29.04;7.89;299.4453;6.724;3.73;0.1;1.18;0.42;0.93;1.03;2.154
18HU98051_547;891;47.1815;-59.79667;208948;425.98;10-nov-98;16:09:00;34.82;5.01;179.57786;3.973;32.8;0.07;22.21;1.68;0.03;0.03;0.341
18HU98051_547;891;47.1815;-59.79667;208949;395.99;10-nov-98;16:09:00;34.81;5.12;173.23614;3.795;32.08;0.06;22.97;1.8;0.01;0.01;0.403
