CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_281;FC-10;47;-49.1167;260736;6;05-dec-05;09:01:00;6.15;32.23;6.91894312583968;5.49;1.04;0.25;0.08;1.25
18HU05656_282;FC-09;47;-50;260737;76;05-dec-05;13:22:00;76.98;33.02;6.56963725929243;-0.35;11.7;0.97;9.7;0.09
18HU05656_282;FC-09;47;-50;260738;50;05-dec-05;13:22:00;50.77;32.92;6.9704433497537;-0.13;8.56;0.89;7.88;0.09
18HU05656_282;FC-09;47;-50;260739;41;05-dec-05;13:22:00;41.67;32.29;6.82937751903269;5.02;2.11;0.34;1.33;0.37
18HU05656_282;FC-09;47;-50;260740;31;05-dec-05;13:22:00;31.71;32.11;6.75996417375728;6.03;2.02;0.31;0.6;0.79
18HU05656_282;FC-09;47;-50;260741;21;05-dec-05;13:22:00;21.01;32.07;6.73981191222571;6.2;1.77;0.26;0.18;0.84
18HU05656_282;FC-09;47;-50;260742;11;05-dec-05;13:22:00;10.73;32.06;6.76892073443798;6.24;1.57;0.23;0.07;0.85
18HU05656_282;FC-09;47;-50;260743;6;05-dec-05;13:22:00;6.27;32.05;6.82937751903269;6.23;2.38;0.37;2.1;0.8
18HU05656_283;FC-08;47;-50.6667;260744;172;05-dec-05;18:04:00;173.28;33.32;6.4308105687416;-0.39;NaN;NaN;NaN;NaN
18HU05656_284;SEGB-04;46.2083;-52.6083;260524;124;29-nov-05;07:52:00;124.98;33.35;6.30989699955217;-0.4;NaN;NaN;NaN;NaN
18HU05656_285;FC-06;47;-51.485;260745;96;06-dec-05;12:45:00;96.42;33.16;7.14957456336767;-0.76;NaN;NaN;NaN;NaN
