CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_171;SEGB-19;42.0817;-49.27;221010;150;25-apr-00;05:52:00;151.16;5.41995073891626;2.66;0.47;7.4;NaN;NaN
18TL00002_171;SEGB-19;42.0817;-49.27;221011;99;25-apr-00;05:52:00;99.78;5.69994849977609;1.48;0.33;5.15;0.77;0.68
18TL00002_171;SEGB-19;42.0817;-49.27;221012;74;25-apr-00;05:52:00;74.82;5.52995073891626;2.46;0.39;5.67;0.63;0.65
18TL00002_171;SEGB-19;42.0817;-49.27;221013;49;25-apr-00;05:52:00;49.63;5.65994849977609;1.33;0.3;4.63;1.28;1.07
18TL00002_171;SEGB-19;42.0817;-49.27;221014;40;25-apr-00;05:52:00;40.01;5.73994849977609;1.21;0.28;4.37;1.67;1.39
18TL00002_171;SEGB-19;42.0817;-49.27;221015;29;25-apr-00;05:52:00;29.29;5.76994849977609;1.82;0.3;4.04;1.67;1.41
18TL00002_171;SEGB-19;42.0817;-49.27;221016;20;25-apr-00;05:52:00;20.23;5.80994849977609;1.36;0.27;4.13;1.95;1.61
18TL00002_171;SEGB-19;42.0817;-49.27;221017;10;25-apr-00;05:52:00;10.51;5.84994626063592;1.78;0.29;4.06;1.89;1.64
18TL00002_171;SEGB-19;42.0817;-49.27;221018;6;25-apr-00;05:52:00;5.68;5.82994626063592;1.51;0.32;4.08;1.97;1.65
18TL00002_315;SEGB-01;46.5833;-52.9333;197911;47;23-apr-00;05:35:00;46.9;8.64992163009404;1.5;1.28;2.03;3.41;2.9
18TL00002_315;SEGB-01;46.5833;-52.9333;197912;29;23-apr-00;05:35:00;29.45;8.92991939095388;0.42;0.92;0.17;2.62;2.95
18TL00002_315;SEGB-01;46.5833;-52.9333;197913;20;23-apr-00;05:35:00;20.13;8.95991939095387;0.41;0.95;0.15;4.5;3.96
18TL00002_315;SEGB-01;46.5833;-52.9333;197914;10;23-apr-00;05:35:00;10.57;8.97991939095387;0.48;0.92;0.14;2.76;2.38
18TL00002_315;SEGB-01;46.5833;-52.9333;197915;6;23-apr-00;05:35:00;6.11;8.97991939095387;0.66;0.97;0.12;2.37;3.06
