CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL17177_2446;1331;46.67;-63.35567;441683;23.5;26-sep-17;17:11:00;29.22;5.53;251.83774;0.2;9.94;0.84;5.79;0.125;NaN;1.036
18TL17177_2446;1331;46.67;-63.35567;441684;3.37;26-sep-17;17:11:00;27.45;17.05;260.45712;1.285;1.695;0.075;0.24;0.025;259.00567;3.596
18TL17177_2447;1341;46.7675;-63.039;441685;59.3;26-sep-17;20:09:00;30.99;-0.15;242.36982;0.055;16.345;1.445;6.62;0.18;241.03002;0.383
18TL17177_2447;1341;46.7675;-63.039;441686;49.18;26-sep-17;20:09:00;30.94;-0.15;245.89796;0.045;16.6;1.64;6.705;0.235;NaN;0.283
18TL17177_2447;1341;46.7675;-63.039;441687;23.2;26-sep-17;20:09:00;29.21;5.96;240.7174;0.105;13.075;0.915;3.94;0.29;NaN;1.002
18TL17177_2447;1341;46.7675;-63.039;441688;4.66;26-sep-17;20:09:00;27.42;17.02;260.72508;1.35;1.655;0.085;0.245;0.025;264.02992;4.742
18TL17177_2448;1351;46.5385;-63.28033;441689;32.43;26-sep-17;23:40:00;29.81;4.38;203.11368;0.1;18.11;1.11;6.655;0.25;209.54472;0.527
18TL17177_2448;1351;46.5385;-63.28033;441690;4.96;26-sep-17;23:40:00;27.39;17.09;260.01052;1.42;1.515;0.075;0.255;0.02;262.44449;3.976
18TL17177_2449;1361;46.49117;-62.954;441691;34.61;27-sep-17;01:24:00;30.18;3.04;218.20876;0.155;16.925;1.1;5.62;0.32;210.08064;0.449
18TL17177_2449;1361;46.49117;-62.954;441692;25.39;27-sep-17;01:24:00;29.51;5.12;219.77186;0.27;14.74;1.01;5.435;0.23;NaN;0.747
18TL17177_2449;1361;46.49117;-62.954;441693;4.86;27-sep-17;01:24:00;27.38;17.05;257.86684;1.27;1.84;0.135;0.4;0.035;258.55907;3.337
18TL17177_2450;1371;46.50933;-62.68533;441694;25.78;27-sep-17;06:17:00;29.78;4.66;246.70184;0.225;8.845;0.755;3.905;0.205;246.2999;0.641
18TL17177_2450;1371;46.50933;-62.68533;441695;4.36;27-sep-17;06:17:00;27.53;16.67;260.54644;1.06;1.675;0.07;0.22;0.02;263.78429;3.461
18TL17177_2451;1381;46.5245;-62.55017;441696;32.72;27-sep-17;10:19:00;30.14;3.45;254.562;0.1;11.035;0.87;4.975;0.3;238.7077;0.333
18TL17177_2451;1381;46.5245;-62.55017;441697;24.69;27-sep-17;10:19:00;29.07;7.38;216.95828;0.305;9.755;0.72;4.105;0.25;NaN;0.977
18TL17177_2451;1381;46.5245;-62.55017;441698;4.36;27-sep-17;10:19:00;27.57;16.61;259.60858;1.13;1.955;0.08;0.32;0.03;261.06003;3.159
18TL17177_2452;1391;46.6985;-62.5715;441699;53.45;27-sep-17;13:10:00;30.99;0.2;257.19694;0.03;14.94;1.215;7.015;0.18;255.38821;0.224
18TL17177_2452;1391;46.6985;-62.5715;441700;23.21;27-sep-17;13:10:00;29.55;5.25;275.15026;0.125;7.695;0.745;3.72;0.135;NaN;0.812
18TL17177_2452;1391;46.6985;-62.5715;441701;4.07;27-sep-17;13:10:00;27.46;16.57;255.2319;1.095;2.85;0.23;0.895;0.045;257.71053;3.092
18TL17177_2453;1411;46.93733;-62.43167;441702;61.48;27-sep-17;17:25:00;31.25;0.06;251.79308;0.03;16.845;1.27;7.24;0.135;226.15824;0.259
18TL17177_2453;1411;46.93733;-62.43167;441703;48.29;27-sep-17;17:25:00;31.21;0.05;252.50764;0.04;16.405;1.275;7.31;0.11;NaN;0.255
18TL17177_2453;1411;46.93733;-62.43167;441704;23.3;27-sep-17;17:25:00;30.24;3.55;299.57928;0.11;5.6;0.83;4.75;0.085;NaN;0.601
18TL17177_2453;1411;46.93733;-62.43167;441705;3.37;27-sep-17;17:25:00;27.67;16.12;260.54644;1.29;1.795;0.1;0.34;0.02;261.57362;4.482
18TL17177_2454;1421;46.8565;-62.03883;441706;58.01;28-sep-17;02:41:00;31.34;0.47;254.69598;0.03;15.01;1.23;6.92;0.2;249.53775;0.27
18TL17177_2454;1421;46.8565;-62.03883;441707;48.98;28-sep-17;02:41:00;31.27;0.48;256.30374;0.05;14.585;1.205;6.735;0.22;NaN;0.266
18TL17177_2454;1421;46.8565;-62.03883;441708;24.1;28-sep-17;02:41:00;30.61;3.18;278.4551;0.07;10.895;1.03;5.21;0.23;NaN;0.859
18TL17177_2454;1421;46.8565;-62.03883;441709;5.06;28-sep-17;02:41:00;27.5;16.52;256.1251;1.13;0.855;0.115;0.3;0.02;260.68042;2.125
18TL17177_2455;1431;46.8495;-61.77617;441710;57.71;28-sep-17;05:21:00;31.75;0.96;256.66102;0.05;16.375;1.195;8.18;0.11;253.06589;0.266
18TL17177_2455;1431;46.8495;-61.77617;441711;49.28;28-sep-17;05:21:00;31.71;0.96;257.37558;0.05;16.365;1.195;8.155;0.11;NaN;0.208
18TL17177_2455;1431;46.8495;-61.77617;441712;24.79;28-sep-17;05:21:00;30.61;2.98;280.06286;0.08;10.3;0.95;4.735;0.21;NaN;0.403
18TL17177_2455;1431;46.8495;-61.77617;441713;5.16;28-sep-17;05:21:00;27.67;16.3;257.6882;1.74;0.62;0.08;0.215;0.02;261.9309;3.341
18TL17177_2456;1441;47.19117;-61.499;441714;30.74;28-sep-17;08:49:00;30.25;8.22;238.61838;0.255;8.15;0.855;3.665;0.19;240.98536;0.755
18TL17177_2456;1441;47.19117;-61.499;441715;24.39;28-sep-17;08:49:00;29.25;13.97;244.15622;1.29;2.415;0.335;0.95;0.065;243.95525;2.063
18TL17177_2456;1441;47.19117;-61.499;441716;4.76;28-sep-17;08:49:00;28.2;15.63;261.261;NaN;NaN;NaN;NaN;NaN;NaN;5.448
18TL17177_2457;1451;47.36633;-61.40017;441717;33.81;28-sep-17;11:40:00;30.73;5.49;264.87846;NaN;NaN;NaN;NaN;NaN;NaN;0.666
18TL17177_2457;1451;47.36633;-61.40017;441718;23.9;28-sep-17;11:40:00;30.34;7.09;256.43772;0.405;5.975;0.74;3.33;0.17;254.62899;0.749
