CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_091;CAST#1;43.18;-62.0983;123866;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123867;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123868;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123869;29;28-oct-94;20:06:00;31.944;12.121;NaN;NaN;NaN;NaN;NaN
18PZ94029_091;CAST#1;43.18;-62.0983;123870;25;28-oct-94;20:06:00;31.78;12.62;NaN;NaN;NaN;NaN;NaN
18PZ94029_102;CAST#1;42.85;-61.7333;123871;800;29-oct-94;05:12:00;34.941;4.211;268.98718;NaN;10.0465;1.0605;15.1375
18PZ94029_102;CAST#1;42.85;-61.7333;123872;500;29-oct-94;05:12:00;34.962;5.179;225.91261;NaN;13.7815;1.335;21.198
18PZ94029_102;CAST#1;42.85;-61.7333;123874;295;29-oct-94;05:12:00;35.148;8.851;172.74488;NaN;13.4045;1.4325;22.5975
18PZ94029_102;CAST#1;42.85;-61.7333;123875;200;29-oct-94;05:12:00;34.389;6.951;276.80268;NaN;8.5005;1.038;12.7805
18PZ94029_102;CAST#1;42.85;-61.7333;123876;150;29-oct-94;05:12:00;33.925;5.162;240.00284;NaN;9.5845;1.1205;13.3035
18PZ94029_102;CAST#1;42.85;-61.7333;123877;100;29-oct-94;05:12:00;33.297;2.401;269.38912;NaN;8.6945;1.0635;9.889
18PZ94029_102;CAST#1;42.85;-61.7333;123878;72;29-oct-94;05:12:00;32.923;1.009;291.13854;NaN;8.719;1.104;9.152
18PZ94029_102;CAST#1;42.85;-61.7333;123879;20;29-oct-94;05:12:00;32.522;10.857;287.78904;NaN;2.3275;0.458;1.759
18PZ94029_102;CAST#1;42.85;-61.7333;123880;1;29-oct-94;05:12:00;31.533;13.032;280.64344;NaN;0.957;0.258;0
18PZ94029_102;CAST#1;42.85;-61.7333;123881;500;29-oct-94;05:12:00;34.962;5.179;NaN;34.987;13.6615;1.326;20.6505
18PZ94029_102;19;42.85;-61.73333;123881;500;28-oct-94;07:08:00;34.962;5.179;NaN;34.987;13.6615;1.326;20.6505
18PZ94029_102;19;42.85;-61.73333;123882;300;28-oct-94;07:08:00;35.142;8.726;NaN;35.198;13.622;1.48;22.847
18PZ94029_102;CAST#1;42.85;-61.7333;123882;300;29-oct-94;05:12:00;35.142;8.726;NaN;35.198;13.622;1.48;22.847
18PZ94029_102;CAST#1;42.85;-61.7333;123883;200;29-oct-94;05:12:00;34.389;6.951;NaN;34.07;9.9845;1.093;13.1545
18PZ94029_102;19;42.85;-61.73333;123883;200;28-oct-94;07:08:00;34.389;6.951;NaN;34.07;9.9845;1.093;13.1545
18PZ94029_102;CAST#1;42.85;-61.7333;123884;100;29-oct-94;05:12:00;33.297;2.401;NaN;33.02;9.3185;1.1095;9.662
18PZ94029_102;19;42.85;-61.73333;123884;100;28-oct-94;07:08:00;33.297;2.401;NaN;33.02;9.3185;1.1095;9.662
