CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA69002_1769;221;47.3847;-62.6167;1760;0;21-may-69;00:00:00;402.3866;3.01;0.21;0.64;0.22
18VA69002_1769;221;47.3847;-62.6167;1761;5;21-may-69;00:00:00;382.7362;2.96;0.23;0.64;0.42
18VA69002_1769;221;47.3847;-62.6167;1762;15;21-may-69;00:00:00;NaN;2.91;0.22;0.2;0.25
18VA69002_1769;221;47.3847;-62.6167;1763;25;21-may-69;00:00:00;387.2022;2.36;0.29;0.4;0.25
18VA69002_1769;221;47.3847;-62.6167;1764;50;21-may-69;00:00:00;364.8722;0.54;0.62;2.02;2.45
18VA69002_1770;222;47.3847;-62.6167;1891;0;25-jul-69;00:00:00;273.7658;16.29;0.17;0.32;0.98
18VA69002_1770;222;47.3847;-62.6167;1893;5;25-jul-69;00:00:00;277.3386;16.09;0.14;0.12;0.65
18VA69002_1770;222;47.3847;-62.6167;1896;15;25-jul-69;00:00:00;333.6102;8.39;0.29;0.34;0.17
18VA69002_1770;222;47.3847;-62.6167;1897;25;25-jul-69;00:00:00;344.7752;3.46;0.48;0.43;1.48
18VA69002_1770;222;47.3847;-62.6167;1899;50;25-jul-69;00:00:00;301.455;0.12;1.13;7.15;7.37
18VA69002_1770;222;47.3847;-62.6167;1900;75;25-jul-69;00:00:00;265.2804;-0.02;1.29;7.03;12.52
18VA69002_1771;223;47.3847;-62.6167;2088;0;19-sep-69;00:00:00;288.5036;12.55;0.3;0.32;1.74
18VA69002_1771;223;47.3847;-62.6167;2089;5;19-sep-69;00:00:00;285.824;12.55;0.23;0.13;1.07
18VA69002_1771;223;47.3847;-62.6167;2090;15;19-sep-69;00:00:00;287.6104;12.37;0.27;0.17;1.87
18VA69002_1771;223;47.3847;-62.6167;2091;25;19-sep-69;00:00:00;285.3774;11.37;0.32;0.09;1.78
18VA69002_1771;223;47.3847;-62.6167;2092;50;19-sep-69;00:00:00;294.3094;0.8;0.23;0.11;1.63
18VA69002_1772;23;47.2431;-59.9597;23_71;0;21-jun-69;00:00:00;315.7462;7.86;0.76;3.04;2.25
18VA69002_1772;23;47.2431;-59.9597;23_72;5;21-jun-69;00:00:00;320.6588;7.82;0.32;0.3;0.48
18VA69002_1772;23;47.2431;-59.9597;23_73;15;21-jun-69;00:00:00;330.0374;6.6;0.38;0.22;0.52
18VA69002_1772;23;47.2431;-59.9597;23_74;25;21-jun-69;00:00:00;NaN;5.54;0.28;0.71;0.36
18VA69002_1772;23;47.2431;-59.9597;23_75;50;21-jun-69;00:00:00;353.2606;1.59;0.3;0.51;0.52
18VA69002_1772;23;47.2431;-59.9597;23_76;75;21-jun-69;00:00:00;329.5908;1.59;0.83;4.99;5.2
18VA69002_1772;23;47.2431;-59.9597;23_77;100;21-jun-69;00:00:00;315.2996;1.36;0.85;7.11;5.04
18VA69002_1772;23;47.2431;-59.9597;23_78;150;21-jun-69;00:00:00;242.5038;2.89;1.3;13.32;12.58
18VA69002_1772;23;47.2431;-59.9597;23_79;200;21-jun-69;00:00:00;200.97;4.27;1.22;16.46;8.15
18VA69002_1772;23;47.2431;-59.9597;23_80;300;21-jun-69;00:00:00;172.3876;4.99;1.62;10.85;21.96
18VA69002_1772;23;47.2431;-59.9597;23_81;400;21-jun-69;00:00:00;195.1642;4.55;1.63;18.46;28.09
18VA69002_1773;231;46.6167;-62;1765;0;21-may-69;00:00:00;402.3866;3.91;0.22;0.2;0.13
18VA69002_1773;231;46.6167;-62;1766;5;21-may-69;00:00:00;397.474;3.85;0.29;0.49;0.31
18VA69002_1773;231;46.6167;-62;1767;15;21-may-69;00:00:00;400.1536;3.4;0.26;0.3;0.25
18VA69002_1773;231;46.6167;-62;1768;25;21-may-69;00:00:00;391.6682;1.47;0.45;0.4;0.27
18VA69002_1773;231;46.6167;-62;1769;50;21-may-69;00:00:00;363.0858;0.56;0.69;3.06;1.94
18VA69002_1774;232;46.6167;-62;1901;0;25-jul-69;00:00:00;271.9794;19.14;0.11;0.22;0.81
18VA69002_1774;232;46.6167;-62;1902;5;25-jul-69;00:00:00;285.3774;16.3;0.08;0.12;0.59
18VA69002_1774;232;46.6167;-62;1903;15;25-jul-69;00:00:00;287.1638;10.13;0.18;0.11;0.63
18VA69002_1774;232;46.6167;-62;1904;25;25-jul-69;00:00:00;349.2412;3.87;0.42;0.16;0.85
18VA69002_1774;232;46.6167;-62;1905;50;25-jul-69;00:00:00;351.4742;0.49;0.95;3.41;6.63
18VA69002_1775;233;46.6167;-62;2093;0;20-sep-69;00:00:00;273.3192;14.59;0.15;0.33;0.26
18VA69002_1775;233;46.6167;-62;2094;5;20-sep-69;00:00:00;268.8532;14.62;0.14;0.22;0.19
18VA69002_1775;233;46.6167;-62;2096;15;20-sep-69;00:00:00;270.6396;14.61;0.13;0.17;0.17
18VA69002_1775;233;46.6167;-62;2097;25;20-sep-69;00:00:00;303.2414;4.64;0.18;1;0.36
18VA69002_1775;233;46.6167;-62;2098;50;20-sep-69;00:00:00;292.0764;1.43;0.97;4.43;8.66
18VA69002_1776;24;47.2431;-59.9597;148;0;15-jul-69;00:00:00;303.688;10.86;0.29;0.11;0.91
18VA69002_1776;24;47.2431;-59.9597;149;5;15-jul-69;00:00:00;301.9016;10.83;0.28;0.27;0.73
18VA69002_1776;24;47.2431;-59.9597;150;15;15-jul-69;00:00:00;301.9016;10.3;0.26;0.27;0.66
18VA69002_1776;24;47.2431;-59.9597;151;25;15-jul-69;00:00:00;317.5326;7.75;0.36;0.11;0.66
18VA69002_1776;24;47.2431;-59.9597;152;50;15-jul-69;00:00:00;347.4548;1.49;0.29;0.22;0.16
18VA69002_1776;24;47.2431;-59.9597;153;75;15-jul-69;00:00:00;317.9792;1.21;0.8;6.84;4.98
18VA69002_1776;24;47.2431;-59.9597;154;100;15-jul-69;00:00:00;300.5618;1.44;0.85;4.12;3.67
18VA69002_1776;24;47.2431;-59.9597;155;150;15-jul-69;00:00:00;222.4068;3.76;1.35;11.45;15.06
18VA69002_1776;24;47.2431;-59.9597;156;200;15-jul-69;00:00:00;177.7468;5.17;1.57;10.45;18.23
18VA69002_1776;24;47.2431;-59.9597;157;300;15-jul-69;00:00:00;182.2128;4.7;1.3;13.45;19.71
18VA69002_1776;24;47.2431;-59.9597;158;400;15-jul-69;00:00:00;185.7856;4.55;1.59;20.51;30.8
18VA69002_1777;241;46.9333;-61.9139;1906;0;25-jul-69;00:00:00;280.0182;17.05;0.19;0.12;0.46
18VA69002_1777;241;46.9333;-61.9139;1907;5;25-jul-69;00:00:00;285.3774;15.39;0.19;0.02;0.57
18VA69002_1777;241;46.9333;-61.9139;1908;15;25-jul-69;00:00:00;294.3094;13.19;0.25;0.14;0.68
18VA69002_1777;241;46.9333;-61.9139;1909;25;25-jul-69;00:00:00;315.2996;5.94;0.41;0.05;0.63
18VA69002_1777;241;46.9333;-61.9139;1910;50;25-jul-69;00:00:00;296.0958;2.36;0.9;4.58;8.18
18VA69002_1778;242;46.9333;-61.9139;2099;0;19-sep-69;00:00:00;291.1832;12.91;0.14;0.05;0.19
18VA69002_1778;242;46.9333;-61.9139;2100;5;19-sep-69;00:00:00;296.0958;12.86;0.09;0.09;0.29
18VA69002_1778;242;46.9333;-61.9139;2101;15;19-sep-69;00:00:00;296.0958;12.66;0.25;0.67;1.62
18VA69002_1778;242;46.9333;-61.9139;2102;25;19-sep-69;00:00:00;276.4454;9.14;0.57;1.58;4.04
18VA69002_1778;242;46.9333;-61.9139;2103;50;19-sep-69;00:00:00;282.2512;3.64;0.79;5.62;6.98
18VA69002_1779;25;47.2431;-59.9597;159;0;30-jul-69;00:00:00;277.7852;15.62;0.17;0.16;1.11
18VA69002_1779;25;47.2431;-59.9597;160;5;30-jul-69;00:00:00;278.6784;15.44;0.21;0.09;1
18VA69002_1779;25;47.2431;-59.9597;161;15;30-jul-69;00:00:00;301.455;11.91;0.25;0.12;0.39
18VA69002_1779;25;47.2431;-59.9597;162;25;30-jul-69;00:00:00;336.7364;2.29;0.3;0.29;0.31
18VA69002_1779;25;47.2431;-59.9597;163;50;30-jul-69;00:00:00;331.3772;1.68;0.59;1.71;1.9
18VA69002_1779;25;47.2431;-59.9597;164;75;30-jul-69;00:00:00;324.2316;1.29;0.71;5.73;2.36
18VA69002_1779;25;47.2431;-59.9597;165;100;30-jul-69;00:00:00;280.4648;2.07;0.94;10.91;7.24
18VA69002_1779;25;47.2431;-59.9597;166;150;30-jul-69;00:00:00;193.3778;4.58;1.2;17.4;11.63
18VA69002_1779;25;47.2431;-59.9597;167;200;30-jul-69;00:00:00;186.2322;5;1.57;19.84;10.46
18VA69002_1779;25;47.2431;-59.9597;168;300;30-jul-69;00:00:00;194.271;4.69;1.45;18.49;15.65
18VA69002_1779;25;47.2431;-59.9597;169;400;30-jul-69;00:00:00;186.6788;4.62;1.43;15.31;19.91
18VA69002_1780;26;47.2431;-59.9597;225;0;18-aug-69;00:00:00;270.6396;NaN;0.15;0.04;1.68
18VA69002_1780;26;47.2431;-59.9597;226;5;18-aug-69;00:00:00;275.1056;16.68;0.17;0.37;2.29
18VA69002_1780;26;47.2431;-59.9597;227;15;18-aug-69;00:00:00;289.8434;15.75;0.22;0.35;0.98
18VA69002_1780;26;47.2431;-59.9597;228;25;18-aug-69;00:00:00;305.4744;5.02;0.47;0.76;2.27
18VA69002_1780;26;47.2431;-59.9597;229;50;18-aug-69;00:00:00;330.9306;2.7;0.6;1.5;1.39
18VA69002_1780;26;47.2431;-59.9597;230;75;18-aug-69;00:00:00;NaN;1.63;0.61;5;2
18VA69002_1780;26;47.2431;-59.9597;231;100;18-aug-69;00:00:00;326.9112;1.57;0.89;6.26;5.4
