CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2038;19;49.24183;-66.17733;217107;09-aug-00;20:12:00;25.85;13.89;341.2024
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216206;09-feb-00;21:36:00;34.61;5.27;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216207;09-feb-00;21:36:00;34.3;4.87;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216208;09-feb-00;21:36:00;33.23;2.18;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216209;09-feb-00;21:36:00;31.89;-1.13;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216210;09-feb-00;21:36:00;31.88;-1.16;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216211;09-feb-00;21:36:00;31.88;-1.16;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216212;09-feb-00;21:36:00;31.88;-1.16;NaN
IML-2000-01 Monitorage 2000_2039;21;49.71617;-66.25133;216213;09-feb-00;21:36:00;31.88;-1.16;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217116;24-aug-00;10:19:00;NaN;5.32;90.4365
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217117;24-aug-00;10:19:00;NaN;4.86;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217118;24-aug-00;10:19:00;NaN;2.7;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217119;24-aug-00;10:19:00;NaN;1.06;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217120;24-aug-00;10:19:00;NaN;0.31;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217121;24-aug-00;10:19:00;NaN;0.8;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217122;24-aug-00;10:19:00;NaN;14.56;NaN
IML-2000-01 Monitorage 2000_2040;210;49.717;-66.25117;217123;24-aug-00;10:19:00;NaN;14.63;278.6784
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217138;12-sep-00;01:04:00;34.56;5.23;88.6501
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217139;12-sep-00;01:04:00;34.1;4.4;NaN
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217140;12-sep-00;01:04:00;33.04;1.85;NaN
IML-2000-01 Monitorage 2000_2041;211;49.716;-66.249;217141;12-sep-00;01:04:00;32.29;1.05;NaN
