CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_03;Q_OXY;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
25;BBL_05;42.1345;-65.509;281562;20-oct-04;18:46:00;40.22;32.42;5.55;6;0.22424;1;NaN;9;NaN;9;7.07;1;0.865;1;5.82;1;0;8.17;1.21
25;BBL_05;42.1345;-65.509;281561;20-oct-04;18:46:00;50.17;32.577;4.213;5.9;0.10161;1;NaN;9;NaN;9;11.39;1;1.052;1;8.37;1;0;10.83;1.36
25;BBL_05;42.1345;-65.509;281560;20-oct-04;18:45:00;61.06;33.39;4.941;5.1;0.02847;1;NaN;9;NaN;9;12.11;1;1.053;1;8.7;1;0;11.50;1.39
25;BBL_05;42.1345;-65.509;281559;20-oct-04;18:44:00;80.55;33.939;6.461;4.6;0.01822;1;NaN;9;NaN;9;2.32;1;0.532;1;2.38;1;0;4.36;0.97
25;BBL_05;42.1345;-65.509;281558;20-oct-04;18:42:00;99.98;34.826;9.34;4;0.01025;1;NaN;9;NaN;9;16.2;2;1.206;1;9.48;1;2048;13.43;1.71
25;BBL_05;42.1345;-65.509;281557;20-oct-04;18:41:00;125.33;35.04;9.419;3.7;NaN;9;NaN;9;NaN;9;19.14;1;1.33;1;10.75;1;0;14.39;1.78
25;BBL_05;42.1345;-65.509;281556;20-oct-04;18:39:00;156.38;35.093;8.671;3.5;NaN;9;35.122;1;3.768;1;22.2;1;1.582;1;13.26;1;0;14.03;1.67
32;BBL_06;41.97067;-65.50733;281579;21-oct-04;02:00:00;3.66;31.887;12.61;5.6;0.78651;1;NaN;9;6.021;1;0.28;1;0.268;1;1.65;1;0;1.04;0.17
32;BBL_06;41.97067;-65.50733;281578;21-oct-04;01:59:00;10.03;31.889;12.609;5.6;0.78651;1;NaN;9;NaN;9;0.29;1;0.262;1;1.56;1;0;1.11;0.19
32;BBL_06;41.97067;-65.50733;281577;21-oct-04;01:58:00;20.55;31.892;12.598;5.6;0.78651;1;NaN;9;NaN;9;0.32;1;0.276;1;1.66;1;0;1.16;0.19
32;BBL_06;41.97067;-65.50733;281576;21-oct-04;01:57:00;30.71;31.982;12.402;5.6;0.92118;1;NaN;9;NaN;9;0.56;1;0.298;1;1.8;1;0;1.88;0.31
32;BBL_06;41.97067;-65.50733;281575;21-oct-04;01:55:00;38.7;32.126;11.825;5.6;0.8727;1;NaN;9;NaN;9;1.17;1;0.362;1;1.91;1;0;3.23;0.61
32;BBL_06;41.97067;-65.50733;281574;21-oct-04;01:54:00;50.93;32.74;5.121;5.5;0.05124;1;NaN;9;NaN;9;8.96;1;0.934;1;7.35;1;0;9.59;1.22
32;BBL_06;41.97067;-65.50733;281573;21-oct-04;01:53:00;60.71;33.014;5.516;5.3;0.04327;1;NaN;9;NaN;9;10.09;1;0.955;1;7.88;1;0;10.57;1.28
32;BBL_06;41.97067;-65.50733;281572;21-oct-04;01:51:00;79.75;33.461;6.188;5.1;0.02847;1;NaN;9;NaN;9;12.9;1;1.056;1;9.24;1;0;12.22;1.40
32;BBL_06;41.97067;-65.50733;281571;21-oct-04;01:50:00;101.47;33.925;7.255;4.8;0.03075;1;NaN;9;NaN;9;12.79;1;1.04;1;8.36;1;0;12.30;1.53
32;BBL_06;41.97067;-65.50733;281570;21-oct-04;01:46:00;247.19;35.181;9.278;3.2;NaN;9;NaN;9;3.3895;1;23.3;1;1.676;1;13.66;1;0;13.90;1.71
32;BBL_06;41.97067;-65.50733;281569;21-oct-04;01:40:00;497.38;34.959;5.694;4.6;NaN;9;NaN;9;NaN;9;20.21;1;1.42;1;12.69;1;0;14.23;1.59
32;BBL_06;41.97067;-65.50733;281568;21-oct-04;01:34:00;750.74;34.918;4.7;5.1;NaN;9;NaN;9;NaN;9;18.63;1;1.362;1;12.68;1;0;13.68;1.47
32;BBL_06;41.97067;-65.50733;281567;21-oct-04;01:25:00;1211.5;34.922;4.039;5.5;NaN;9;34.978;1;5.971;1;17.72;1;1.284;1;11.78;1;0;13.80;1.50
35;BBL_07;41.86367;-65.3525;281591;21-oct-04;07:19:00;3.52;31.733;12.638;5.6;0.5387;1;NaN;9;5.884;1;0.35;1;0.262;1;1.45;1;0;1.34;0.24
35;BBL_07;41.86367;-65.3525;281590;21-oct-04;07:18:00;10;31.738;12.6;5.6;0.52254;1;NaN;9;NaN;9;0.44;1;0.27;1;1.42;1;0;1.63;0.31
35;BBL_07;41.86367;-65.3525;281589;21-oct-04;07:17:00;20.7;32.231;10.637;5.6;0.47945;1;NaN;9;NaN;9;2.03;1;0.421;1;2.47;1;0;4.82;0.82
35;BBL_07;41.86367;-65.3525;281588;21-oct-04;07:15:00;30.56;32.484;9.727;5.6;0.33938;1;NaN;9;NaN;9;3.47;1;0.529;1;3.18;1;0;6.56;1.09
35;BBL_07;41.86367;-65.3525;281587;21-oct-04;07:14:00;39.64;32.874;8.436;5.5;0.1892;1;NaN;9;NaN;9;6.07;1;0.716;1;5.73;1;0;8.48;1.06
35;BBL_07;41.86367;-65.3525;281586;21-oct-04;07:12:00;49.95;33.641;8.191;5.1;0.08059;1;NaN;9;NaN;9;9.57;1;0.88;1;6.36;1;0;10.88;1.50
35;BBL_07;41.86367;-65.3525;281585;21-oct-04;07:10:00;61.17;34.207;9.44;4.7;0.06657;1;NaN;9;NaN;9;10.29;1;0.894;1;5.92;1;0;11.51;1.74
35;BBL_07;41.86367;-65.3525;281584;21-oct-04;07:09:00;80.2;34.944;11.001;4;0.02505;1;NaN;9;NaN;9;13.62;1;1.148;1;6.96;1;0;11.86;1.96
35;BBL_07;41.86367;-65.3525;281583;21-oct-04;07:07:00;99.95;35.174;11.588;3.8;0.01594;1;NaN;9;NaN;9;14.63;1;1.166;1;7.27;1;0;12.55;2.01
35;BBL_07;41.86367;-65.3525;281582;21-oct-04;07:03:00;249.19;35.119;8.76;3.2;NaN;9;NaN;9;3.377;1;22.07;1;1.45;1;13.14;1;0;15.22;1.68
35;BBL_07;41.86367;-65.3525;281581;21-oct-04;06:58:00;500.88;34.891;5.142;4.7;NaN;9;NaN;9;NaN;9;19.59;1;1.403;1;12.87;1;0;13.96;1.52
35;BBL_07;41.86367;-65.3525;281580;21-oct-04;06:32:00;1894.02;34.919;3.534;5.6;NaN;9;34.929;1;6.088;1;17.89;1;1.281;1;13.07;1;0;13.97;1.37
38;RL_05;42.61367;-64.088;281604;21-oct-04;16:10:00;3.26;32.358;13.781;5.4;0.42557;1;NaN;9;5.7545;1;0.04;1;0.177;1;1.99;1;0;0.23;0.02
38;RL_05;42.61367;-64.088;281603;21-oct-04;16:09:00;10.08;32.353;13.73;5.5;0.48483;1;NaN;9;NaN;9;0.07;1;0.196;1;1.9;1;0;0.36;0.04
38;RL_05;42.61367;-64.088;281602;21-oct-04;16:08:00;20.01;32.64;9.664;6;0.71109;1;NaN;9;NaN;9;1.56;1;0.448;1;2.97;1;0;3.48;0.53
38;RL_05;42.61367;-64.088;281601;21-oct-04;16:07:00;28.95;32.524;4.047;6.2;0.38787;1;NaN;9;NaN;9;3.11;1;0.642;1;3.27;1;0;4.84;0.95
38;RL_05;42.61367;-64.088;281600;21-oct-04;16:06:00;39.81;33.131;4.346;5.9;0.21723;1;NaN;9;NaN;9;5.98;1;0.786;1;4.99;1;0;7.61;1.20
38;RL_05;42.61367;-64.088;281599;21-oct-04;16:05:00;51.73;33.149;3.637;5.8;0.0911;1;NaN;9;NaN;9;7.89;1;0.899;1;6.93;1;0;8.78;1.14
38;RL_05;42.61367;-64.088;281598;21-oct-04;16:04:00;59.46;33.237;3.658;5.6;0.04897;1;NaN;9;NaN;9;9.09;1;0.949;1;6.98;1;0;9.58;1.30
38;RL_05;42.61367;-64.088;281597;21-oct-04;16:03:00;79.64;33.757;5.618;5.2;0.03302;1;NaN;9;NaN;9;10.45;1;0.998;1;7.21;1;0;10.47;1.45
38;RL_05;42.61367;-64.088;281596;21-oct-04;16:02:00;100.01;34.473;8.194;4.5;0.01594;1;NaN;9;NaN;9;13.31;1;1.176;1;8.12;1;0;11.32;1.64
38;RL_05;42.61367;-64.088;281595;21-oct-04;15:58:00;250.18;34.962;7.01;3.8;NaN;9;NaN;9;3.9765;1;21.91;1;1.616;1;14.12;1;0;13.56;1.55
38;RL_05;42.61367;-64.088;281594;21-oct-04;15:53:00;500.97;34.899;4.816;5;NaN;9;NaN;9;NaN;9;17.98;1;1.312;1;11.48;1;0;13.70;1.57
38;RL_05;42.61367;-64.088;281593;21-oct-04;15:47:00;750.87;34.917;4.35;5.3;NaN;9;NaN;9;NaN;9;17.87;1;1.337;1;11.31;1;0;13.37;1.58
38;RL_05;42.61367;-64.088;281592;21-oct-04;15:42:00;984.52;34.918;4.074;5.5;NaN;9;34.925;1;5.925;1;17.55;1;1.339;1;11.76;1;0;13.11;1.49
47;LL_09;43.47283;-57.52917;281621;23-oct-04;15:32:00;2.68;32.675;15.228;5.3;0.35554;1;NaN;9;5.6305;1;0.04;1;0.173;1;1.65;1;0;0.23;0.02
47;LL_09;43.47283;-57.52917;281620;23-oct-04;15:31:00;9.32;32.683;15.215;5.2;0.37709;1;NaN;9;NaN;9;0.02;1;0.16;1;1.53;1;0;0.13;0.01
47;LL_09;43.47283;-57.52917;281619;23-oct-04;15:30:00;19.95;32.679;15.22;5.2;0.36632;1;NaN;9;NaN;9;0.02;1;0.158;1;1.49;1;0;0.13;0.01
47;LL_09;43.47283;-57.52917;281618;23-oct-04;15:30:00;29.9;32.611;14.831;5.4;0.5387;1;NaN;9;NaN;9;0.1;1;0.226;1;1.58;1;0;0.44;0.06
47;LL_09;43.47283;-57.52917;281617;23-oct-04;15:29:00;40.36;32.437;6.585;6;0.42019;1;NaN;9;NaN;9;3.08;1;0.575;1;3.67;1;0;5.36;0.84
47;LL_09;43.47283;-57.52917;281616;23-oct-04;15:28:00;48.68;32.867;5.453;6;0.26935;1;NaN;9;NaN;9;3.69;1;0.645;1;3.91;1;0;5.72;0.94
47;LL_09;43.47283;-57.52917;281615;23-oct-04;15:27:00;59.78;32.929;4.117;6.1;0.21723;1;NaN;9;NaN;9;4.38;1;0.746;1;4.34;1;0;5.87;1.01
47;LL_09;43.47283;-57.52917;281614;23-oct-04;15:26:00;77.84;33.06;2.485;5.9;0.19971;1;NaN;9;NaN;9;5.23;1;0.714;1;5.61;1;0;7.32;0.93
