CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU00001_036;SEGB-09;44.725;-51.395;221561;40;02-nov-00;14:50:00;40.3;292.0738;5.47;0.4;3.78;0.5;0.45
18HU00001_036;SEGB-09;44.725;-51.395;221562;30;02-nov-00;14:50:00;29.95;301.4523;0.34;0;0;0.72;0.6
18HU00001_036;SEGB-09;44.725;-51.395;221563;19;02-nov-00;14:50:00;19.6;296.9863;0.76;0;0;0.48;0.45
18HU00001_036;SEGB-09;44.725;-51.395;221564;10;02-nov-00;14:50:00;9.88;293.4136;0.61;0;0;0.49;0.44
18HU00001_036;SEGB-09;44.725;-51.395;221565;5;02-nov-00;14:50:00;5.06;292.5204;0.7;0;0;0.46;0.44
18HU00001_047;SEGB-10;44.3633;-51.1033;221566;68;02-nov-00;17:41:00;68.54;319.3161;9.64;0.71;3.25;0.25;0.19
18HU00001_047;SEGB-10;44.3633;-51.1033;221567;53;02-nov-00;17:41:00;52.98;306.3649;9.45;0.65;3.74;0.23;0.16
18HU00001_047;SEGB-10;44.3633;-51.1033;221568;42;02-nov-00;17:41:00;42.7;293.8602;9.34;0.75;4.55;0.21;0.17
18HU00001_047;SEGB-10;44.3633;-51.1033;221569;30;02-nov-00;17:41:00;30.61;296.5397;0.89;0;0.01;0.55;0.48
18HU00001_047;SEGB-10;44.3633;-51.1033;221570;21;02-nov-00;17:41:00;21;291.1806;0.79;0;0;0.53;0.46
18HU00001_047;SEGB-10;44.3633;-51.1033;221571;11;02-nov-00;17:41:00;10.79;290.734;0.87;0;0;0.45;0.4
18HU00001_047;SEGB-10;44.3633;-51.1033;221572;6;02-nov-00;17:41:00;5.89;289.8408;0.89;0;0;0.5;0.34
18HU00001_058;SEGB-11;44;-50.8083;221573;66;02-nov-00;20:05:00;66.25;327.3549;9.2;0.39;2.51;0.43;0.31
18HU00001_058;SEGB-11;44;-50.8083;221574;51;02-nov-00;20:05:00;51.08;332.2674;9.14;0.44;2.44;0.37;0.29
18HU00001_058;SEGB-11;44;-50.8083;221575;41;02-nov-00;20:05:00;40.99;313.5104;3.93;0.1;0.98;0.85;0.69
18HU00001_058;SEGB-11;44;-50.8083;221576;30;02-nov-00;20:05:00;30.61;303.6853;1.04;0;0.03;0.56;0.5
18HU00001_058;SEGB-11;44;-50.8083;221577;21;02-nov-00;20:05:00;20.81;298.7727;0.65;0;0;0.62;0.54
18HU00001_058;SEGB-11;44;-50.8083;221579;11;02-nov-00;20:05:00;11.05;298.7727;0.51;0;0;0.6;0.54
18HU00001_069;SEGB-12;43.6333;-50.5167;221580;59;02-nov-00;23:05:00;59.24;316.6366;9.2;0.37;2.25;0.41;0.34
18HU00001_069;SEGB-12;43.6333;-50.5167;221581;52;02-nov-00;23:05:00;52.47;318.8695;9.19;0.48;2.09;0.37;0.32
18HU00001_069;SEGB-12;43.6333;-50.5167;221582;42;02-nov-00;23:05:00;42.59;318.8695;8.99;0.35;2.08;0.39;0.37
18HU00001_069;SEGB-12;43.6333;-50.5167;221583;30;02-nov-00;23:05:00;30.6;310.8308;0.51;0;0;0.8;0.73
