CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_058;SEGB-09;44.7283;-51.3983;197955;51;24-apr-00;00:59:00;50.99;349.6847;0.55;1.13;0.61;0.32;0.41
18TL00002_058;SEGB-09;44.7283;-51.3983;197956;40;24-apr-00;00:59:00;39.92;351.471;0.57;1.16;0.68;0.38;0.37
18TL00002_058;SEGB-09;44.7283;-51.3983;197957;32;24-apr-00;00:59:00;31.89;351.9176;0.36;1.11;0.68;0.47;0.45
18TL00002_058;SEGB-09;44.7283;-51.3983;197958;21;24-apr-00;00:59:00;21.09;352.3642;0.33;1.12;0.7;0.51;0.51
18TL00002_058;SEGB-09;44.7283;-51.3983;197959;12;24-apr-00;00:59:00;11.79;352.3642;0.39;1.14;0.62;0.48;0.48
18TL00002_058;SEGB-09;44.7283;-51.3983;197960;5;24-apr-00;00:59:00;4.97;352.3642;0.38;0.97;0;0.42;0.4
18TL00002_060;S27-10;47.99;-50.48;221415;132;06-may-00;17:39:00;132.98;335.8402;9.9;1.67;9.3;NaN;NaN
18TL00002_060;S27-10;47.99;-50.48;221416;99;06-may-00;17:39:00;100.24;365.3155;6.78;1.52;8;0.44;0.42
18TL00002_060;S27-10;47.99;-50.48;221417;74;06-may-00;17:39:00;74.35;374.6941;4.8;1.08;6.78;1.19;1.01
18TL00002_060;S27-10;47.99;-50.48;221418;50;06-may-00;17:39:00;50.21;385.8589;1.81;1.03;4.02;2.77;3.15
18TL00002_060;S27-10;47.99;-50.48;221419;39;06-may-00;17:39:00;39.63;408.6353;0.23;0.7;0.15;5.02;6.15
18TL00002_060;S27-10;47.99;-50.48;221420;30;06-may-00;17:39:00;30.11;413.5479;0;0.66;0;3.45;3.03
18TL00002_060;S27-10;47.99;-50.48;221421;20;06-may-00;17:39:00;20.03;414.8877;0;0.68;0;2.66;3.06
18TL00002_060;S27-10;47.99;-50.48;221422;9;06-may-00;17:39:00;9.35;415.7809;0;0.65;0;3.19;2.88
18TL00002_060;S27-10;47.99;-50.48;221423;5;06-may-00;17:39:00;4.95;414.4411;0.24;0.97;0;2.71;3.23
18TL00002_061;S27-08;47.89;-50.95;221424;119;06-may-00;20:32:00;120.04;324.6753;10.11;2.19;8.97;NaN;NaN
18TL00002_061;S27-08;47.89;-50.95;221425;103;06-may-00;20:32:00;104.28;328.6947;9.71;2.13;8.76;0.86;0.68
18TL00002_061;S27-08;47.89;-50.95;221426;75;06-may-00;20:32:00;75.86;366.2087;4.53;1.75;6.57;1.38;1.2
18TL00002_061;S27-08;47.89;-50.95;221427;51;06-may-00;20:32:00;51.32;384.5191;1.28;1.54;2.87;3.45;4.43
18TL00002_061;S27-08;47.89;-50.95;221428;38;06-may-00;20:32:00;38.62;411.7615;0.28;0.92;0;2.86;2.6
18TL00002_061;S27-08;47.89;-50.95;221430;30;06-may-00;20:32:00;29.77;409.9751;0.125;0.85;0;2.675;2.6
18TL00002_061;S27-08;47.89;-50.95;221431;10;06-may-00;20:32:00;10.09;407.2955;0.12;0.91;0;2.3;2.08
18TL00002_061;S27-08;47.89;-50.95;221432;4;06-may-00;20:32:00;4.49;407.2955;0.05;0.88;0;2.19;1.91
18TL00002_062;S27-06;47.79;-51.42;221433;138;06-may-00;22:52:00;139.38;321.5491;11.21;2.17;9.32;NaN;NaN
18TL00002_062;S27-06;47.79;-51.42;221434;99;06-may-00;22:52:00;100.13;361.7428;6.78;1.89;7.48;0.52;0.53
18TL00002_062;S27-06;47.79;-51.42;221435;74;06-may-00;22:52:00;74.26;366.2087;5.97;1.77;7.12;1.28;1.15
18TL00002_062;S27-06;47.79;-51.42;221436;48;06-may-00;22:52:00;48.29;387.6453;0.81;1.15;1.37;4.63;5.71
18TL00002_062;S27-06;47.79;-51.42;221437;39;06-may-00;22:52:00;39.38;402.383;0.2;1.02;0;3.44;5.37
18TL00002_062;S27-06;47.79;-51.42;221438;31;06-may-00;22:52:00;31.32;410.4217;0.2;0.83;0;2.49;2.92
18TL00002_062;S27-06;47.79;-51.42;221439;19;06-may-00;22:52:00;19.29;407.7422;0.09;0.79;0;2.39;2.82
18TL00002_062;S27-06;47.79;-51.42;221440;11;06-may-00;22:52:00;11.04;409.9751;0.19;0.64;0;3.18;2.85
18TL00002_062;S27-06;47.79;-51.42;221441;5;06-may-00;22:52:00;5.06;408.6353;0.17;0.87;0;2.63;3.05
18TL00002_064;S27-04;47.68;-51.88;221442;180;07-may-00;01:35:00;181.69;311.724;13.44;2.28;9.91;NaN;NaN
18TL00002_064;S27-04;47.68;-51.88;221443;151;07-may-00;01:35:00;151.8;326.9083;10.62;1.92;8.89;NaN;NaN
18TL00002_064;S27-04;47.68;-51.88;221444;98;07-may-00;01:35:00;99.17;363.0826;6.72;1.99;7.5;0.57;0.62
18TL00002_064;S27-04;47.68;-51.88;221445;75;07-may-00;01:35:00;75.18;368.8883;4.73;1.78;6.41;1.3;1.14
18TL00002_064;S27-04;47.68;-51.88;221446;51;07-may-00;01:35:00;50.94;387.1987;0.5;1.28;1.49;5.05;6.4
18TL00002_064;S27-04;47.68;-51.88;221447;40;07-may-00;01:35:00;40.72;410.8683;0.28;1.16;0;2.73;2.36
18TL00002_064;S27-04;47.68;-51.88;221448;32;07-may-00;01:35:00;31.89;401.4898;0;0.39;0;1.68;1.49
18TL00002_064;S27-04;47.68;-51.88;221449;20;07-may-00;01:35:00;20.66;402.383;0;0.4;0;1.75;1.56
18TL00002_064;S27-04;47.68;-51.88;221450;11;07-may-00;01:35:00;10.88;401.4898;0;0.37;0;1.18;1.05
18TL00002_064;S27-04;47.68;-51.88;221451;6;07-may-00;01:35:00;5.63;402.383;0.18;0.45;0;1.48;1.42
18TL00002_066;S27-02;47.58;-52.35;221452;159;07-may-00;04:30:00;159.94;326.9083;12.37;1.12;9.47;NaN;NaN
