CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU95003_014;CAST#1;40.33467;-51.17;153079;2808.44;23-apr-95;15:50:00;2849.365;34.925;2.9099;278.05316;17.95249;1.24351;17.93351
18HU95003_014;CAST#1;40.33467;-51.17;153080;2617;23-apr-95;15:50:00;2653.942;34.9369;3.0945;274.4357;18.27397;1.22054;18.43647
18HU95003_014;CAST#1;40.33467;-51.17;153081;2412.32;23-apr-95;15:50:00;2445.18;34.9401;3.2534;275.59686;16.79503;1.20998;18.67556
18HU95003_014;CAST#1;40.33467;-51.17;153082;2241.48;23-apr-95;15:50:00;2271.094;34.936;3.3387;274.74832;15.40198;1.21203;18.25149
18HU95003_014;CAST#1;40.33467;-51.17;153083;1980.35;23-apr-95;15:50:00;2005.269;34.9281;3.4624;281.17936;13.87502;1.22053;18.20901
18HU95003_014;CAST#1;40.33467;-51.17;153084;1740.02;23-apr-95;15:50:00;1760.901;34.9008;3.4293;281.04538;12.24797;1.16296;18.01248
18HU95003_014;CAST#1;40.33467;-51.17;153085;1519.03;23-apr-95;15:50:00;1536.45;34.9099;3.5971;277.65122;11.97701;1.17302;18.1155
18HU95003_014;CAST#1;40.33467;-51.17;153086;1192.64;23-apr-95;15:50:00;1205.368;34.9429;3.9758;273.22988;12.26303;1.21901;18.96655
18HU95003_014;CAST#1;40.33467;-51.17;153087;992.89;23-apr-95;15:50:00;1003.002;34.9137;4.0406;277.29394;11.3655;1.19846;18.27201
18HU95003_014;CAST#1;40.33467;-51.17;153088;710.35;23-apr-95;15:50:00;717.096;34.8782;4.4564;254.74064;12.3125;1.29199;19.06155
18HU95003_014;CAST#1;40.33467;-51.17;153089;525.56;23-apr-95;15:50:00;530.31;34.5151;3.7019;257.73286;12.24401;1.24651;17.456
18HU95003_014;CAST#1;40.33467;-51.17;153090;363.78;23-apr-95;15:50:00;366.922;34.6646;6.6929;216.601;11.27947;1.26255;17.93697
18HU95003_014;CAST#1;40.33467;-51.17;153091;217.26;23-apr-95;15:50:00;219.058;35.5697;12.4791;161.75852;8.71054;1.12197;18.16554
18HU95003_014;CAST#1;40.33467;-51.17;153092;15.9;23-apr-95;15:50:00;16.023;33.2769;6.6702;339.54998;1.25755;0.41703;0.13648
18HU95003_025;CAST#1;39.98967;-50.2705;153093;5341.96;23-apr-95;21:27:00;5451.623;34.8617;2.2318;263.7173;46.046;1.52598;22.34203
18HU95003_025;CAST#1;39.98967;-50.2705;153094;5114.47;23-apr-95;21:27:00;5216.745;34.8691;2.2569;267.24544;41.05806;1.43704;21.34049
