CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU02070_264;SEGB-03;46.35;-52.7333;255605;5;10-nov-02;20:05:00;5.45;31.896;311.9473;3.503;3.3;0.68;1.18;0.33
18HU02070_277;FC-12;47;-48.1167;255800;124;15-nov-02;22:23:00;124.75;33.923;276.5769;0.582;12.34;1.37;12.83;NaN
18HU02070_277;FC-12;47;-48.1167;255801;106;15-nov-02;22:23:00;106.71;33.846;282.8293;0.385;8.39;1.15;9.26;0
18HU02070_277;FC-12;47;-48.1167;255802;75;15-nov-02;22:23:00;76.07;33.552;296.0485;-0.12;10.12;1.57;11.4;0.01
18HU02070_277;FC-12;47;-48.1167;255803;50;15-nov-02;22:23:00;50.37;33.327;303.2387;-0.269;8.86;1.44;9.92;0.02
18HU02070_277;FC-12;47;-48.1167;255804;40;15-nov-02;22:23:00;40.16;33.122;310.1162;0.348;8.58;1.39;8.18;0.15
18HU02070_277;FC-12;47;-48.1167;255805;29;15-nov-02;22:23:00;29.14;33.02;313.6443;0.822;7.53;1.32;7.57;0.21
18HU02070_277;FC-12;47;-48.1167;255806;19;15-nov-02;22:23:00;18.93;32.826;320.12;2.585;4.3;0.6;3.55;0.61
18HU02070_277;FC-12;47;-48.1167;255807;9;15-nov-02;22:23:00;8.8;32.823;320.2093;2.598;3.49;1.19;3.43;0.62
18HU02070_277;FC-12;47;-48.1167;255808;4;15-nov-02;22:23:00;4.33;32.826;320.5219;2.587;3.29;0.91;3.38;0.24
18HU02070_278;FC-11;47;-48.6167;255809;93;16-nov-02;01:45:00;94.23;33.478;292.7883;-0.081;NaN;NaN;NaN;NaN
18HU02070_279;FC-10;47;-49.1167;255810;75;16-nov-02;04:54:00;75.83;33.201;294.1281;-1.042;12.56;1.73;10.48;0.04
18HU02070_279;FC-10;47;-49.1167;255811;50;16-nov-02;04:54:00;50.91;32.985;304.1765;-0.587;7.3;1.49;6.58;0.07
18HU02070_279;FC-10;47;-49.1167;255812;40;16-nov-02;04:54:00;40.59;32.859;310.5182;0.201;4.76;1.04;3.98;0.38
18HU02070_279;FC-10;47;-49.1167;255813;29;16-nov-02;04:54:00;28.9;32.595;318.6909;2.51;3.7;0.91;3.26;0.48
18HU02070_279;FC-10;47;-49.1167;255814;20;16-nov-02;04:54:00;20.46;32.594;318.9589;2.522;3.7;0.83;3.32;0.51
18HU02070_279;FC-10;47;-49.1167;255815;10;16-nov-02;04:54:00;10.17;32.593;320.9685;2.524;2.92;0.67;2.51;0.54
18HU02070_279;FC-10;47;-49.1167;255816;6;16-nov-02;04:54:00;5.86;32.592;322.085;2.522;3.25;0.7;2.81;0.47
18HU02070_280;FC-09;47;-50;255817;76;16-nov-02;09:50:00;76.64;32.928;283.2758;0.125;9.02;1.67;7.28;0.05
18HU02070_280;FC-09;47;-50;255818;47;16-nov-02;09:50:00;47.18;32.556;312.0813;2.64;2.59;0.65;2.29;0.34
18HU02070_280;FC-09;47;-50;255819;36;16-nov-02;09:50:00;36.28;32.414;311.724;3.386;2.12;0.61;1.88;0.56
