CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU01064_596;701;47.66;-63.74883;247324;49.48;06-dec-01;13:30:00;31.44;2.68;304.08994;295.38124;8.4925;0.07;0.91;7.74667;NaN;NaN;NaN;0.19;0.11;0.701;NaN
18HU01064_596;701;47.66;-63.74883;247325;25.09;06-dec-01;13:30:00;30.78;3.22;334.90534;335.30728;3.3325;0.18;0.66;3.595;NaN;NaN;NaN;0.705;0.49;1.285;NaN
18HU01064_596;701;47.66;-63.74883;247326;14.87;06-dec-01;13:30:00;30.53;3;338.79076;338.61212;4.02;0.185;0.615;4.0625;NaN;NaN;NaN;1.11;0.79;1.849;NaN
18HU01064_596;701;47.66;-63.74883;247327;5.26;06-dec-01;13:30:00;30.4;2.95;338.56746;339.72862;4.22667;0.19;0.67;3.72;NaN;NaN;NaN;1.185;0.84;2.199;NaN
18HU01064_596;701;47.66;-63.74883;247328;2.18;06-dec-01;13:30:00;30.4;2.96;338.43348;338.9694;4.55333;0.185;0.675;4.22333;NaN;NaN;NaN;1.125;0.81;1.648;NaN
18HU01064_597;711;47.50267;-63.25;247329;76.14;06-dec-01;15:48:00;31.83;0.62;223.79126;222.67476;25.66;0.05;1.565;13.51667;NaN;NaN;NaN;0.185;0.17;0.707;NaN
18HU01064_597;711;47.50267;-63.25;247330;49.87;06-dec-01;15:48:00;31.38;1.13;257.0183;229.86502;23.27;0.03;1.5;12.64;NaN;NaN;NaN;0.115;0.09;0.448;NaN
18HU01064_597;711;47.50267;-63.25;247331;24.19;06-dec-01;15:48:00;30.55;3.95;332.98496;329.63546;4.89;0.17;0.68;3.82667;NaN;NaN;NaN;0.515;0.4;1.127;NaN
18HU01064_597;711;47.50267;-63.25;247332;14.48;06-dec-01;15:48:00;30.42;3.57;337.4063;335.21796;4.61;0.195;0.725;4.26333;NaN;NaN;NaN;0.865;0.7;1.576;NaN
18HU01064_597;711;47.50267;-63.25;247333;5.55;06-dec-01;15:48:00;30.32;3.3;337.98688;336.02184;4.3;0.2;0.715;3.34;NaN;NaN;NaN;0.96;0.77;1.921;NaN
18HU01064_597;711;47.50267;-63.25;247334;2.78;06-dec-01;15:48:00;30.32;3.3;338.0762;337.49562;4.1;0.185;0.7;4.17;NaN;NaN;NaN;1;0.645;1.973;NaN
18HU01064_598;721;47.3295;-62.74983;247335;49.28;06-dec-01;18:03:00;31.29;2.28;278.49976;278.0085;12.64333;0.195;1.1;9.11;NaN;NaN;NaN;0.18;0.13;0.643;NaN
18HU01064_598;721;47.3295;-62.74983;247336;24.39;06-dec-01;18:03:00;30.42;3.32;337.36164;334.41408;4;0.185;0.695;4.165;NaN;NaN;NaN;0.765;0.58;1.64;NaN
18HU01064_598;721;47.3295;-62.74983;247337;14.18;06-dec-01;18:03:00;30.39;3.29;337.49562;336.82572;4.06667;0.185;0.68;4.128;NaN;NaN;NaN;0.675;0.515;1.888;NaN
18HU01064_598;721;47.3295;-62.74983;247338;5.55;06-dec-01;18:03:00;30.39;3.29;336.91504;337.45096;3.99333;0.185;0.69;3.966;NaN;NaN;NaN;0.855;0.67;1.986;NaN
18HU01064_598;721;47.3295;-62.74983;247339;2.68;06-dec-01;18:03:00;30.39;3.29;336.91504;336.91504;4.09333;0.195;0.665;4.052;NaN;NaN;NaN;0.615;0.505;1.638;NaN
18HU01064_599;731;47.17117;-62.25117;247340;35.4;06-dec-01;20:14:00;30.86;3.59;322.71316;322.69827;7.13667;0.2;0.805;4.935;NaN;NaN;NaN;0.355;0.3;1.239;NaN
