CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL05601_215;FC-07;47;-51;259724;29;05-may-05;04:23:00;29.64;32.71;355.9;1.15;0.89;0.39;0.93;0.05
18TL05601_215;FC-07;47;-51;259725;20;05-may-05;04:23:00;19.72;32.63;374.7;2.43;0.77;0.3;0.09;4.03
18TL05601_215;FC-07;47;-51;259726;10;05-may-05;04:23:00;9.87;32.6;375.1;2.69;0.82;0.27;0.06;1.85
18TL05601_215;FC-07;47;-51;259727;5;05-may-05;04:23:00;4.64;32.59;374.7;2.76;0.7;0.28;0;1.83
18TL05601_225;SEGB-02;46.5;-52.85;259583;173;01-may-05;03:38:00;173.9;32.91;314;-0.66;NaN;NaN;NaN;NaN
18TL05601_226;FC-06;47;-51.485;259728;96;05-may-05;07:09:00;97.26;32.99;297;0.3;NaN;NaN;NaN;NaN
18TL05601_237;FC-05;47;-52.0333;259729;135;05-may-05;09:29:00;136.35;33.08;293;-0.34;8.07;1.05;7.37;NaN
18TL05601_237;FC-05;47;-52.0333;259730;100;05-may-05;09:29:00;100.87;32.78;333.2;-1.23;5.29;0.88;6.12;1.31
18TL05601_237;FC-05;47;-52.0333;259731;74;05-may-05;09:29:00;74.94;32.66;338.5;-1.47;1.66;0.63;4.48;1.43
18TL05601_237;FC-05;47;-52.0333;259732;50;05-may-05;09:29:00;49.94;32.43;369.8;-0.01;0.94;0.25;0;0.28
18TL05601_237;FC-05;47;-52.0333;259733;40;05-may-05;09:29:00;40.13;32.4;371.1;0.58;0.94;0.23;0;0.18
18TL05601_237;FC-05;47;-52.0333;259734;29;05-may-05;09:29:00;29.45;32.35;369.3;0.61;0.87;0.28;1.27;0.15
18TL05601_237;FC-05;47;-52.0333;259735;20;05-may-05;09:29:00;19.9;32.33;368;0.69;1.27;0.27;0.78;0.2
18TL05601_237;FC-05;47;-52.0333;259736;10;05-may-05;09:29:00;9.89;32.3;364.9;0.86;0.94;0.24;0.09;0.09
18TL05601_237;FC-05;47;-52.0333;259737;5;05-may-05;09:29:00;5.03;32.29;360.4;1.25;0.94;0.23;0;0.1
18TL05601_239;FC-04;47;-52.3217;259738;120;05-may-05;12:12:00;121.23;33.07;288.9;-0.28;8.04;1.08;7.66;NaN
18TL05601_239;FC-04;47;-52.3217;259739;99;05-may-05;12:12:00;100.3;32.87;330;-1.09;NaN;NaN;NaN;1.64
18TL05601_239;FC-04;47;-52.3217;259740;74;05-may-05;12:12:00;75.08;32.75;338.1;-0.61;2.79;0.82;4.69;1.57
18TL05601_239;FC-04;47;-52.3217;259741;50;05-may-05;12:12:00;50.16;32.72;361.7;0.62;1.16;0.44;1;1.94
18TL05601_239;FC-04;47;-52.3217;259742;40;05-may-05;12:12:00;39.88;32.63;370.7;0.07;0.94;0.27;0;0.51
18TL05601_239;FC-04;47;-52.3217;259743;30;05-may-05;12:12:00;30.54;32.57;372;0.92;1.1;0.34;0;0.49
18TL05601_239;FC-04;47;-52.3217;259744;20;05-may-05;12:12:00;20.24;32.48;363.5;1.49;0.87;0.27;0.83;0.21
18TL05601_239;FC-04;47;-52.3217;259745;10;05-may-05;12:12:00;10.33;32.43;358.6;1.9;1.45;0.3;0.26;0.11
18TL05601_239;FC-04;47;-52.3217;259746;5;05-may-05;12:12:00;5.49;32.42;356.8;2.01;NaN;NaN;NaN;NaN
18TL05601_243;FC-03;47;-52.58;259747;151;05-may-05;13:45:00;152.43;33.1;278.7;0.09;11.51;1.19;8.48;NaN
