CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
18TL05035_770;471;46.57167;-62.2515;276645;25.68;18-jun-05;19:34:00;30.6;1.7;345.71306;NaN;NaN;NaN;NaN;NaN;1.27;0.135;1.44;0.48;0.44;1.755
18TL05035_770;471;46.57167;-62.2515;276646;14.68;18-jun-05;19:34:00;30.38;2.15;343.34608;NaN;NaN;NaN;NaN;NaN;1.325;0.13;1.42;0.435;0.485;1.93
18TL05035_770;471;46.57167;-62.2515;276647;4.76;18-jun-05;19:34:00;30.18;6.77;340.80046;NaN;NaN;NaN;NaN;NaN;1.4;0.05;0.375;0.275;1.115;4.263
18TL05035_770;471;46.57167;-62.2515;276648;2.38;18-jun-05;19:34:00;29.63;7.68;328.07236;326.9112;NaN;NaN;NaN;NaN;1.58;0.05;0.315;0.285;1.205;3.582
18TL05035_771;491;47.16517;-61.76333;276649;25.58;19-jun-05;00:12:00;31;7.16;326.37528;324.4549;NaN;NaN;NaN;NaN;0;0.045;0.29;0.485;0.915;2.966
18TL05035_771;491;47.16517;-61.76333;276650;15.27;19-jun-05;00:12:00;30.81;7.79;320.48016;NaN;NaN;NaN;NaN;NaN;0;0.045;0.3;0.55;0.665;3.167
18TL05035_771;491;47.16517;-61.76333;276651;5.55;19-jun-05;00:12:00;30.81;7.8;319.67628;NaN;NaN;NaN;NaN;NaN;0;0.055;0.21;0.275;0.72;3.32
18TL05035_771;491;47.16517;-61.76333;276652;1.88;19-jun-05;00:12:00;30.81;7.8;319.58696;320.8821;NaN;NaN;NaN;NaN;0;0.05;0.24;0.36;0.76;3.317
18TL05035_772;511;46.49783;-61.744;276653;45.42;19-jun-05;05:11:00;31;0.79;330.9306;338.9694;NaN;NaN;NaN;NaN;5.035;0.155;3.355;0.82;0.21;0.988
18TL05035_772;511;46.49783;-61.744;276654;25.59;19-jun-05;05:11:00;30.27;2.69;328.6976;NaN;NaN;NaN;NaN;NaN;2.57;0.095;1.01;0.515;0.54;1.319
18TL05035_772;511;46.49783;-61.744;276655;15.47;19-jun-05;05:11:00;29.35;9.85;309.00254;NaN;NaN;NaN;NaN;NaN;1.66;0.04;0.295;0.205;1.28;3.317
18TL05035_772;511;46.49783;-61.744;276656;3.67;19-jun-05;05:11:00;29.21;10.8;304.8045;NaN;NaN;NaN;NaN;NaN;1.60333;0.035;0.235;0.175;1.16;3.35
18TL05035_772;511;46.49783;-61.744;276657;1.39;19-jun-05;05:11:00;29.21;10.86;303.95596;303.0181;NaN;NaN;NaN;NaN;1.085;0.04;0.26333;0.10333;1.14;3.269
18TL05035_773;531;45.83417;-62.25117;276658;25.59;19-jun-05;10:25:00;30.23;2;329.85876;336.5131;NaN;NaN;NaN;NaN;3.025;0.07;0.62;0.52333;0.365;1.191
18TL05035_773;531;45.83417;-62.25117;276659;15.17;19-jun-05;10:25:00;29.99;4.98;345.4451;NaN;NaN;NaN;NaN;NaN;1.115;0.045;0.33;0.335;0.93;1.901
18TL05035_773;531;45.83417;-62.25117;276660;5.45;19-jun-05;10:25:00;28.96;6.67;318.51512;NaN;NaN;NaN;NaN;NaN;0.54;0.04;0.27667;0.29667;1.215;2.919
18TL05035_773;531;45.83417;-62.25117;276661;1.19;19-jun-05;10:25:00;28.68;9.04;311.59282;307.7074;NaN;NaN;NaN;NaN;0.07;0.065;0.205;0.35;0.515;1.703
18TL05035_774;551;46.17283;-61.748;276662;48.19;19-jun-05;15:21:00;30.78;0.77;318.47046;328.251;NaN;NaN;NaN;NaN;7.635;0.175;2.17667;1.04;0.245;1.223
18TL05035_774;551;46.17283;-61.748;276663;25.39;19-jun-05;15:21:00;30.45;1.92;343.61404;NaN;NaN;NaN;NaN;NaN;0.445;0.095;0.575;0.53;0.595;2.188
18TL05035_774;551;46.17283;-61.748;276664;15.77;19-jun-05;15:21:00;30.11;4.46;346.115;NaN;NaN;NaN;NaN;NaN;0.575;0.045;0.225;0.38667;0.89;2.03
18TL05035_774;551;46.17283;-61.748;276665;5.45;19-jun-05;15:21:00;29.61;10.03;306.3676;NaN;NaN;NaN;NaN;NaN;0.65;0.06;0.325;0.41;0.92;2.248
18TL05035_774;551;46.17283;-61.748;276666;1.59;19-jun-05;15:21:00;29.57;10.32;305.07246;304.3579;NaN;NaN;NaN;NaN;0.315;0.055;0.23;0.38;NaN;2.07
18TL05035_775;571;46.82717;-60.922;276667;50.27;19-jun-05;20:35:00;31.43;0.42;320.52482;335.1733;NaN;NaN;NaN;NaN;5.34;0.305;5.31;1.07;0.16;1.088
18TL05035_775;571;46.82717;-60.922;276668;25.49;19-jun-05;20:35:00;30.55;2.95;344.9985;NaN;NaN;NaN;NaN;NaN;1.215;0.1;1.1;0.64667;0.93;2.203
18TL05035_775;571;46.82717;-60.922;276669;15.57;19-jun-05;20:35:00;29.98;6.31;333.3869;NaN;NaN;NaN;NaN;NaN;0.95;0.07;0.22333;0.38;0.555;1.902
18TL05035_775;571;46.82717;-60.922;276670;5.36;19-jun-05;20:35:00;29.07;10.51;305.0278;NaN;NaN;NaN;NaN;NaN;0.565;0.03333;0.21333;0.145;1.03;2.556
18TL05035_775;571;46.82717;-60.922;276671;1.69;19-jun-05;20:35:00;29.09;10.49;304.62586;299.8919;NaN;NaN;NaN;NaN;0.42;0.03667;0.22667;0.19333;1.14;2.555
18TL05035_776;591;47.1735;-60.7515;276672;50.47;20-jun-05;01:34:00;32.2;2.08;324.4549;323.785;NaN;NaN;NaN;NaN;2.49;0.16;3.48;0.655;0.185;1.363
18TL05035_776;591;47.1735;-60.7515;276673;25.68;20-jun-05;01:34:00;31.84;4.33;333.65486;NaN;NaN;NaN;NaN;NaN;0.745;0.06;1.03;0.435;0.49;2.465
18TL05035_776;591;47.1735;-60.7515;276674;15.67;20-jun-05;01:34:00;31.68;5.56;331.33254;NaN;NaN;NaN;NaN;NaN;0.405;0.035;0.485;0.405;2.32;3.29
18TL05035_776;591;47.1735;-60.7515;276675;5.45;20-jun-05;01:34:00;30.91;7.75;313.69184;NaN;NaN;NaN;NaN;NaN;0.455;0.025;0.23;0.38;0.615;2.272
18TL05035_776;591;47.1735;-60.7515;276676;1.79;20-jun-05;01:34:00;30.87;7.82;313.91514;304.8045;NaN;NaN;NaN;NaN;0.5;0.025;0.235;0.26;0.62;2.279
18TL05035_777;611;47.4995;-61.24433;276677;25.48;20-jun-05;06:17:00;31.31;3.68;338.34416;340.3092;NaN;NaN;NaN;NaN;2.075;0.08;1.17;0.495;1.685;3.479
18TL05035_777;611;47.4995;-61.24433;276678;15.37;20-jun-05;06:17:00;31.04;7.36;326.59858;NaN;NaN;NaN;NaN;NaN;0;0.03;0.23;0.33;1.105;4.108
18TL05035_777;611;47.4995;-61.24433;276679;5.45;20-jun-05;06:17:00;31.01;7.53;325.83936;NaN;NaN;NaN;NaN;NaN;0;0.065;0.285;0.355;0.735;3.589
18TL05035_777;611;47.4995;-61.24433;276680;1.78;20-jun-05;06:17:00;31.01;7.57;325.7947;326.6879;NaN;NaN;NaN;NaN;0;0.03;0.215;0.32;0.695;3.365
18TL05035_778;661;47.589;-61.82633;276694;25.38;20-jun-05;19:34:00;31.12;5.28;314.49572;320.6588;NaN;NaN;NaN;NaN;0;0.04667;0.205;0.42667;1.405;3.88
18TL05035_778;661;47.589;-61.82633;276695;14.48;20-jun-05;19:34:00;30.95;8.62;316.4161;NaN;NaN;NaN;NaN;NaN;0;0.035;0.215;0.37;0.375;0.978
18TL05035_778;661;47.589;-61.82633;276696;5.45;20-jun-05;19:34:00;30.95;9.01;312.21806;NaN;NaN;NaN;NaN;NaN;0;0.04;0.205;0.365;0.255;0.651
18TL05035_778;661;47.589;-61.82633;276697;1.88;20-jun-05;19:34:00;30.94;9.02;312.26272;312.1734;NaN;NaN;NaN;NaN;0;0.045;0.24;0.405;0.245;0.563
18TL05035_779;691;47.83433;-62.25733;276698;50.67;20-jun-05;23:28:00;31.67;0.29;327.8044;341.649;NaN;NaN;NaN;NaN;3.825;0.125;3.77;0.76;0.365;1.288
18TL05035_779;691;47.83433;-62.25733;276699;25.19;20-jun-05;23:28:00;31.11;1.42;344.95384;NaN;NaN;NaN;NaN;NaN;2.665;0.085;2.825;0.565;0.61;2.442
18TL05035_779;691;47.83433;-62.25733;276700;15.37;20-jun-05;23:28:00;30.99;3.15;350.1344;NaN;NaN;NaN;NaN;NaN;2.02;0.075;1.585;0.4;0.66;2.684
18TL05035_779;691;47.83433;-62.25733;276701;5.65;20-jun-05;23:28:00;30.41;8.83;317.21998;NaN;NaN;NaN;NaN;NaN;2.29;0.025;0.235;0.24;0.57;2.606
18TL05035_779;691;47.83433;-62.25733;276702;1.78;20-jun-05;23:28:00;30.41;8.9;315.34426;315.2996;NaN;NaN;NaN;NaN;2.21;0.03333;0.2;0.27667;0.535;2.409
18TL05035_780;751;47.83267;-63.2385;276713;74.85;21-jun-05;11:03:00;31.84;-0.3;280.15218;287.8337;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.659
18TL05035_780;751;47.83267;-63.2385;276714;50.37;21-jun-05;11:03:00;31.35;-0.01;306.94818;NaN;NaN;NaN;NaN;NaN;7.725;0.125;6.255;0.99;0.135;0.837
18TL05035_780;751;47.83267;-63.2385;276715;25.28;21-jun-05;11:03:00;30.59;1.63;337.58494;NaN;NaN;NaN;NaN;NaN;4.795;0.165;3.975;0.725;0.58;2.105
18TL05035_780;751;47.83267;-63.2385;276716;15.27;21-jun-05;11:03:00;29.84;6.31;330.75196;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3.921
18TL05035_780;751;47.83267;-63.2385;276717;5.35;21-jun-05;11:03:00;29.59;8.95;310.96758;NaN;NaN;NaN;NaN;NaN;4.32;0.05;0.38;0.365;0.895;3.382
18TL05035_780;751;47.83267;-63.2385;276718;1.39;21-jun-05;11:03:00;29.59;8.93;311.5035;311.7268;NaN;NaN;NaN;NaN;4.335;0.05333;0.27667;0.23333;0.6;2.928
18TL05035_781;831;47.93533;-65.2465;276736;50.37;22-jun-05;05:55:00;31.76;-0.1;255.4552;263.2707;NaN;NaN;NaN;NaN;18.435;0.17;10.86;1.41;0.1;0.652
18TL05035_781;831;47.93533;-65.2465;276737;25.78;22-jun-05;05:55:00;30.41;-0.17;296.5424;NaN;NaN;NaN;NaN;NaN;14.805;0.22;8.075;1.11;0.13;0.766
18TL05035_781;831;47.93533;-65.2465;276738;15.87;22-jun-05;05:55:00;28.73;3.29;324.0083;NaN;NaN;NaN;NaN;NaN;8.025;0.205;4.73;0.9;0.655;1.726
18TL05035_781;831;47.93533;-65.2465;276739;5.85;22-jun-05;05:55:00;25.81;9.52;307.4841;NaN;NaN;NaN;NaN;NaN;0.405;0.05333;0.50667;0.08333;1.225;4.01
18TL05035_781;831;47.93533;-65.2465;276740;1.88;22-jun-05;05:55:00;25.57;10.59;308.64526;309.0472;NaN;NaN;NaN;NaN;0;0.03;0.24;0.03;1.135;4.117
