CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_102;19;42.565;-65.915;4279;10;08-aug-79;09:07:00;10;NaN;293.4162;0.82;0.375;0.065
181079022_113;2;42.785;-64.13;4118;137;07-aug-79;04:15:00;138;35.2765;220.1738;8.47;1.305;16.76
181079022_113;2;42.785;-64.13;4119;137;07-aug-79;04:15:00;138;35.274;179.5332;8.295;1.33;16.195
181079022_113;2;42.785;-64.13;4120;99;07-aug-79;04:15:00;100;NaN;217.4942;5.565;1.12;10.525
181079022_113;2;42.785;-64.13;4121;74;07-aug-79;04:15:00;75;NaN;246.9698;4.21;0.94;7.285
181079022_113;2;42.785;-64.13;4122;50;07-aug-79;04:15:00;50;NaN;316.6394;2.085;0.59;0.435
181079022_113;2;42.785;-64.13;4123;50;07-aug-79;04:15:00;50;NaN;326.018;2.035;0.58;0.505
181079022_113;2;42.785;-64.13;4124;30;07-aug-79;04:15:00;30;NaN;316.6394;1.565;0.5;0.345
181079022_113;2;42.785;-64.13;4125;20;07-aug-79;04:15:00;20;NaN;294.756;0.95;0.525;0.27
181079022_113;2;42.785;-64.13;4126;10;07-aug-79;04:15:00;10;NaN;259.4746;0.61;0.49;0.285
181079022_114;20;42.85167;-65.83667;4280;100;08-aug-79;15:10:00;101;33.559;253.6688;6.665;0.975;9.365
181079022_114;20;42.85167;-65.83667;4281;74;08-aug-79;15:10:00;75;NaN;250.096;5.885;0.905;7.94
181079022_114;20;42.85167;-65.83667;4282;50;08-aug-79;15:10:00;50;NaN;257.2416;6.09;0.885;8.21
181079022_114;20;42.85167;-65.83667;4283;50;08-aug-79;15:10:00;50;NaN;257.2416;6.76;0.885;8.04
181079022_114;20;42.85167;-65.83667;4284;40;08-aug-79;15:10:00;40;NaN;268.8532;4.635;0.735;5.825
