CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_025;SEGB-11;44;-50.8083;257435;20;20-nov-03;17:29:00;32.38;296.763;7.87;2.66;0.7;0.99;1.18
18HU03075_025;SEGB-11;44;-50.8083;257436;10;20-nov-03;17:29:00;32.38;298.6834;7.99;3.22;0.91;1.17;1.52
18HU03075_025;SEGB-11;44;-50.8083;257437;5;20-nov-03;17:29:00;32.38;298.7727;8.01;2.59;0.4;0.73;1.26
18HU03075_036;SEGB-12;43.6333;-50.5167;257438;64;20-nov-03;20:38:00;32.91;277.1575;3.01;8.59;1.74;4.41;0.31
18HU03075_036;SEGB-12;43.6333;-50.5167;257439;50;20-nov-03;20:38:00;32.88;277.5148;3.29;7.43;1.02;3;0.25
18HU03075_036;SEGB-12;43.6333;-50.5167;257440;40;20-nov-03;20:38:00;32.42;291.7165;8.31;3.34;1.12;1.23;1.22
18HU03075_036;SEGB-12;43.6333;-50.5167;257441;30;20-nov-03;20:38:00;32.42;292.9223;8.35;3.5;1.2;1.31;1.11
18HU03075_036;SEGB-12;43.6333;-50.5167;257442;20;20-nov-03;20:38:00;32.42;294.1728;8.38;2.37;0.33;0.48;1.14
18HU03075_036;SEGB-12;43.6333;-50.5167;257443;10;20-nov-03;20:38:00;32.42;294.0388;8.38;1.98;0.3;0.48;1.19
18HU03075_036;SEGB-12;43.6333;-50.5167;257444;5;20-nov-03;20:38:00;32.42;294.3068;8.38;2.57;0.4;0.53;1.16
18HU03075_047;SEGB-13;43.2;-50.1667;257445;65;20-nov-03;23:33:00;32.75;307.1687;2.73;6.58;0.67;2.74;1.52
18HU03075_047;SEGB-13;43.2;-50.1667;257446;50;20-nov-03;23:33:00;32.62;310.4289;3.52;3.74;0.5;2.4;1.12
18HU03075_047;SEGB-13;43.2;-50.1667;257447;41;20-nov-03;23:33:00;32.58;312.1706;3.83;4.26;0.68;3.49;1.84
18HU03075_047;SEGB-13;43.2;-50.1667;257448;31;20-nov-03;23:33:00;32.5;315.2075;4.4;2.4;0.54;1.22;2.2
18HU03075_047;SEGB-13;43.2;-50.1667;257449;20;20-nov-03;23:33:00;32.45;316.056;6.04;2.47;0.45;1.3;2.72
18HU03075_047;SEGB-13;43.2;-50.1667;257450;10;20-nov-03;23:33:00;32.44;310.2949;6.71;2.32;0.44;0.48;1.95
18HU03075_047;SEGB-13;43.2;-50.1667;257451;5;20-nov-03;23:33:00;32.44;308.9998;6.79;1.74;0.37;0.48;2.17
18HU03075_058;SEGB-14;42.92;-49.9417;257452;165;21-nov-03;01:52:00;33.76;301.3183;0.54;NaN;NaN;NaN;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257453;389;21-nov-03;02:44:00;34.7;282.3826;3.83;8.51;1.07;11.99;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257454;151;21-nov-03;02:44:00;33.76;301.1843;0.62;8.42;0.9;8.32;NaN
18HU03075_069;SEGB-15;42.85;-49.8867;257455;100;21-nov-03;02:44:00;33.6;305.4717;0.36;6.95;0.83;7;0.08
18HU03075_069;SEGB-15;42.85;-49.8867;257456;76;21-nov-03;02:44:00;33.48;308.2852;0.03;8.28;0.95;8.2;0.08
18HU03075_069;SEGB-15;42.85;-49.8867;257457;51;21-nov-03;02:44:00;33.3;311.0541;0.33;8.21;0.94;8.1;0.17
18HU03075_069;SEGB-15;42.85;-49.8867;257458;40;21-nov-03;02:44:00;33.24;311.5007;0.37;6.89;0.81;5.74;0.15
18HU03075_069;SEGB-15;42.85;-49.8867;257459;30;21-nov-03;02:44:00;33.18;312.0366;0.51;7.29;0.85;5.91;0.19
18HU03075_069;SEGB-15;42.85;-49.8867;257460;20;21-nov-03;02:44:00;33.11;312.3939;0.65;7.74;0.93;7.47;0.19
18HU03075_069;SEGB-15;42.85;-49.8867;257461;10;21-nov-03;02:44:00;32.84;313.5104;1.82;7.28;0.93;7.31;0.4
18HU03075_069;SEGB-15;42.85;-49.8867;257462;5;21-nov-03;02:44:00;32.59;322.3976;3.05;3.98;0.62;3.43;1.15
18HU03075_080;SEGB-16;42.775;-49.8283;257463;1361;21-nov-03;05:04:00;34.84;290.9126;3.46;NaN;NaN;NaN;NaN
18HU03075_091;SEGB-17;42.5883;-49.6833;257464;2528;21-nov-03;07:38:00;34.9;279.5691;2.65;NaN;NaN;NaN;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257465;2943;21-nov-03;13:26:00;34.89;279.6138;2.24;13.19;1.04;13.22;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257466;151;21-nov-03;13:26:00;34.56;246.0744;4.76;8.59;1.22;15.52;NaN
18HU03075_102;SEGB-18;42.395;-49.5183;257467;100;21-nov-03;13:26:00;34.35;256.5694;5.17;7.43;1.07;13.29;0.02
18HU03075_102;SEGB-18;42.395;-49.5183;257468;74;21-nov-03;13:26:00;33.79;282.6953;5.77;4.2;0.71;7.31;0.07
18HU03075_102;SEGB-18;42.395;-49.5183;257469;49;21-nov-03;13:26:00;33.24;280.9535;8.58;2.58;0.47;3.48;0.18
