CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL09037_1023;421;47.10033;-59.992;342327;16.36;13-jun-09;00:09:00;30.55;4.79;343.882;8.647;NaN;0.02;0.3;0.28;0.135;0.36;NaN;1.084
18TL09037_1023;421;47.10033;-59.992;342328;6.64;13-jun-09;00:09:00;30.15;8.43;314.36174;8.656;NaN;0.005;0.24;0.085;0;0.57;NaN;1.765
18TL09037_1023;421;47.10033;-59.992;342329;1.98;13-jun-09;00:09:00;30.16;8.42;314.6297;8.681;316.66173;0.005;0.21;0.075;0;NaN;0.845;1.767
18TL09037_1024;431;47.02367;-60.116;342330;175.36;13-jun-09;01:56:00;34.17;4.54;193.42246;8.44;192.73023;0.07;1.335;17.65;15.25;NaN;NaN;0.284
18TL09037_1024;431;47.02367;-60.116;342331;99.64;13-jun-09;01:56:00;32.68;0.74;307.52876;8.518;NaN;0.105;0.93;9.24;8.435;NaN;0.045;0.32
18TL09037_1024;431;47.02367;-60.116;342332;48.98;13-jun-09;01:56:00;31.65;0.57;340.04124;8.553;NaN;0.07;0.78;4.18;3.555;NaN;0.245;0.769
18TL09037_1024;431;47.02367;-60.116;342333;26.18;13-jun-09;01:56:00;31.07;3.36;353.61788;8.638;NaN;0.025;0.4;0.68;0.285;NaN;0.325;0.606
18TL09037_1024;431;47.02367;-60.116;342334;16.46;13-jun-09;01:56:00;30.63;5.94;344.3286;8.663;NaN;0.01;0.265;0.105;0;NaN;0.575;1.317
18TL09037_1024;431;47.02367;-60.116;342335;6.45;13-jun-09;01:56:00;30.2;8.27;318.15784;8.661;NaN;0.015;0.225;0.105;0;NaN;1.2;1.975
18TL09037_1024;431;47.02367;-60.116;342336;2.08;13-jun-09;01:56:00;30.19;8.3;318.33648;8.683;318.38114;0.01;0.255;0.1;0.05;NaN;1.17;1.957
18TL09037_1025;441;46.9585;-60.21683;342337;75.65;13-jun-09;03:11:00;32.76;1.18;284.43954;8.507;278.16481;0.125;1.07;11.145;11.375;NaN;0.095;0.36
18TL09037_1025;441;46.9585;-60.21683;342338;48.59;13-jun-09;03:11:00;31.91;1.3;329.27818;8.565;NaN;0.09;0.745;5.21;4.705;NaN;0.18;0.519
18TL09037_1025;441;46.9585;-60.21683;342339;25.68;13-jun-09;03:11:00;31.09;3.65;348.97324;8.637;NaN;0.02;0.365;0.76;0.375;0.25;NaN;0.739
18TL09037_1025;441;46.9585;-60.21683;342340;16.56;13-jun-09;03:11:00;30.65;6.03;341.649;8.664;NaN;0.01;0.305;0.255;0.12;0.41;NaN;1.228
18TL09037_1025;441;46.9585;-60.21683;342341;6.45;13-jun-09;03:11:00;30.26;8.2;320.83744;8.671;NaN;0.005;0.25;0.065;0;0.51;NaN;1.436
18TL09037_1025;441;46.9585;-60.21683;342342;2.28;13-jun-09;03:11:00;30.21;8.33;318.78308;8.686;318.53745;0.01;0.255;0.03;0;0.55;NaN;1.448
18TL09037_1026;451;46.74383;-61.00117;342343;53.74;13-jun-09;08:10:00;32.12;0.07;293.68416;8.526;287.18613;0.135;1.105;8.44;7.315;0.1;NaN;0.403
18TL09037_1026;451;46.74383;-61.00117;342344;50.08;13-jun-09;08:10:00;32.04;-0.02;299.6686;8.509;NaN;0.13;1.065;8.15;7.25;0.08;NaN;0.43
18TL09037_1026;451;46.74383;-61.00117;342345;25.19;13-jun-09;08:10:00;29.76;8.71;310.74428;8.667;NaN;0.015;0.2;0.075;0.07;0.57;NaN;1.088
18TL09037_1026;451;46.74383;-61.00117;342346;15.17;13-jun-09;08:10:00;29.44;10.23;306.8142;8.717;NaN;0.01;0.17;0.025;0.205;1.145;NaN;2.329
18TL09037_1026;451;46.74383;-61.00117;342347;6.05;13-jun-09;08:10:00;29.4;10.21;307.30546;8.747;NaN;0.01;0.165;0.03;0.065;0.62;NaN;2.68
18TL09037_1026;451;46.74383;-61.00117;342348;1.39;13-jun-09;08:10:00;29.4;10.22;307.17148;8.757;308.75691;0.01;0.155;0.025;0.18;1.28;NaN;2.445
18TL09037_1027;461;46.8315;-61.24867;342349;58.4;13-jun-09;09:50:00;31.8;-0.23;305.34042;8.503;298.06084;0.105;1.05;6.82;6.9;0.16;NaN;0.509
18TL09037_1027;461;46.8315;-61.24867;342350;51.07;13-jun-09;09:50:00;31.68;-0.26;315.2996;8.503;NaN;0.1;1.01;6.22;5.495;0.11;NaN;0.501
18TL09037_1027;461;46.8315;-61.24867;342351;25.58;13-jun-09;09:50:00;30.95;2.21;371.1246;8.686;NaN;0.02;0.44;0.325;0.475;0.61;NaN;1.491
18TL09037_1027;461;46.8315;-61.24867;342352;15.77;13-jun-09;09:50:00;30.42;9.2;318.8724;8.694;NaN;0.01;0.26;0.015;0.185;1.135;NaN;2.939
18TL09037_1027;461;46.8315;-61.24867;342353;5.95;13-jun-09;09:50:00;29.93;9.84;309.2705;8.734;NaN;0.01;0.19;0.055;0.155;1.02;NaN;2.528
18TL09037_1027;461;46.8315;-61.24867;342354;1.98;13-jun-09;09:50:00;29.93;9.84;309.35982;8.754;309.80642;0.01;0.205;0.035;0.33;1.08;NaN;2.454
