CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Q_OXYM;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
181091058_138;CAST#1;47.96667;-60.33167;106182;3;28-nov-91;06:35:00;31.28;5.5;7.25481415136588;1;1.03;1;0.409;1;1.64;1;0;2.52;0.63
181091058_138;CAST#1;47.96667;-60.33167;106181;53;28-nov-91;06:35:00;32.02;2.79;7.14285714285714;1;4.46;1;0.659;1;4.7;1;0;6.77;0.95
181091058_138;CAST#1;47.96667;-60.33167;106180;153;28-nov-91;06:35:00;32.93;0.27;6.56068069861173;1;9.53;1;1.065;1;11.03;1;0;8.95;0.86
181091058_138;CAST#1;47.96667;-60.33167;106179;204;28-nov-91;06:35:00;33.6;2.44;4.41110613524407;1;15.17;1;1.438;1;18.03;1;0;10.55;0.84
181091058_138;CAST#1;47.96667;-60.33167;106178;253;28-nov-91;06:35:00;34.25;4.46;2.79892521271832;1;19.05;1;1.717;1;26.72;1;0;11.09;0.71
181091058_138;CAST#1;47.96667;-60.33167;106177;297;28-nov-91;06:35:00;34.58;5.31;3.38110165696373;1;18.74;1;1.489;1;22.41;1;0;12.59;0.84
181091058_138;CAST#1;47.96667;-60.33167;106176;350;28-nov-91;06:35:00;34.73;5.36;3.78414688759516;1;19.8;1;1.426;1;22.25;1;0;13.88;0.89
181091058_138;CAST#1;47.96667;-60.33167;106175;484;28-nov-91;06:35:00;NaN;NaN;3.8513210927004;1;18.67;1;1.48;1;26.64;1;0;12.61;0.70
181091058_149;CAST#1;47.85833;-60.45833;106190;2;28-nov-91;08:17:00;30.81;4.28;7.43394536497985;1;1.64;1;0.416;1;1.8;1;0;3.94;0.91
181091058_149;CAST#1;47.85833;-60.45833;106189;55;28-nov-91;08:17:00;32.13;0.25;7.61307657859382;1;5.33;1;0.772;1;4.82;1;0;6.90;1.11
181091058_149;CAST#1;47.85833;-60.45833;106188;154;28-nov-91;08:17:00;33.01;0.48;6.20241827138379;1;4.54;1;0.729;1;3.95;1;0;6.23;1.15
181091058_149;CAST#1;47.85833;-60.45833;106187;204;28-nov-91;08:17:00;33.82;3.18;4.38871473354232;1;8.62;1;1.034;1;9.63;1;0;8.34;0.90
181091058_149;CAST#1;47.85833;-60.45833;106186;256;28-nov-91;08:17:00;34.43;5.06;3.71697268248992;1;13.31;1;1.32;1;16.18;1;0;10.08;0.82
181091058_149;CAST#1;47.85833;-60.45833;106185;306;28-nov-91;08:17:00;34.66;5.37;3.58262427227944;1;17.38;1;1.493;1;19.91;1;0;11.64;0.87
181091058_149;CAST#1;47.85833;-60.45833;106184;357;28-nov-91;08:17:00;34.78;5.17;3.33631885356023;1;20.33;1;1.577;1;23.68;1;0;12.89;0.86
181091058_149;CAST#1;47.85833;-60.45833;106183;427;28-nov-91;08:17:00;NaN;NaN;3.67218987908643;1;17.83;1;1.51;1;26.6;1;0;11.81;0.67
181091058_160;CAST#1;47.76667;-60.56667;106198;2;28-nov-91;09:41:00;30.67;4.18;7.43394536497985;1;1.63;1;0.39;1;2.34;1;0;4.18;0.70
181091058_160;CAST#1;47.76667;-60.56667;106197;54;28-nov-91;09:41:00;32.02;0.77;6.7845947156292;1;7.42;1;0.889;1;8.44;1;0;8.35;0.88
181091058_160;CAST#1;47.76667;-60.56667;106196;79;28-nov-91;09:41:00;32.29;0.13;6.7845947156292;1;9.45;1;1.044;1;10.92;1;0;9.05;0.87
181091058_160;CAST#1;47.76667;-60.56667;106195;103;28-nov-91;09:41:00;32.43;-0.02;6.71742051052396;1;8.01;1;0.883;1;8.77;1;0;9.07;0.91
181091058_160;CAST#1;47.76667;-60.56667;106194;153;28-nov-91;09:41:00;33.02;0.56;5.57545902373489;1;10.28;1;0.975;1;11.56;1;0;10.54;0.89
181091058_160;CAST#1;47.76667;-60.56667;106193;204;28-nov-91;09:41:00;33.52;2.16;4.70219435736677;1;10.11;1;0.985;1;11.78;1;0;10.26;0.86
181091058_160;CAST#1;47.76667;-60.56667;106192;254;28-nov-91;09:41:00;34.25;4.34;2.9332736229288;1;19.81;1;1.617;1;28.04;1;0;12.25;0.71
181091058_160;CAST#1;47.76667;-60.56667;106191;266;28-nov-91;09:41:00;NaN;NaN;2.75414240931482;1;20.11;1;1.629;1;30.2;1;0;12.34;0.67
181091058_171;CAST#1;47.66667;-60.69;106201;2;28-nov-91;11:01:00;30.64;4.21;7.43394536497985;1;1.74;1;0.422;1;2.18;1;0;4.12;0.80
181091058_171;CAST#1;47.66667;-60.69;106200;28;28-nov-91;11:01:00;30.65;4.25;7.43394536497985;1;1.65;1;0.372;1;1.95;1;0;4.44;0.85
181091058_171;CAST#1;47.66667;-60.69;106199;59;28-nov-91;11:01:00;NaN;NaN;6.62785490371697;1;8.04;1;0.893;1;9.91;1;0;9.00;0.81
181091058_305;CAST#1;47.825;-62.81667;106477;4;03-dec-91;16:40:00;30.64;3.23;7.59068517689207;1;2.2;1;0.462;1;2.86;1;0;4.76;0.77
181091058_305;CAST#1;47.825;-62.81667;106476;30;03-dec-91;16:40:00;30.64;3.24;7.59068517689207;1;2.8;1;0.678;1;3.66;1;0;4.13;0.77
181091058_305;CAST#1;47.825;-62.81667;106475;55;03-dec-91;16:40:00;32.03;0.28;5.41871921182266;1;13.33;1;1.502;1;22.21;1;0;8.87;0.60
