CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;CHL_03;FLOR;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mg/m**3);(mg/m**3);(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU10070_1132;51;43.17817;-62.09667;344689;59.81;07-nov-10;16:46:00;33.39;7.46;261.9309;NaN;5.852;0.09;0.05;NaN;9;0.025;1;NaN;9;7.4;1;NaN;9;0.81;1;5.895;1;256;9.14;1.26
18HU10070_1132;51;43.17817;-62.09667;344688;75.88;07-nov-10;16:46:00;33.87;8.02;241.3873;NaN;5.4595;0.12;0.051;NaN;9;0.04;1;NaN;9;9.14;1;NaN;9;0.875;1;7.6;1;256;10.45;1.20
18HU10070_1133;61;42.84983;-61.72667;344708;3.97;07-nov-10;20:03:00;32.34;13.47;277.96384;NaN;6.136;0.705;0.281;NaN;9;0.015;1;NaN;9;0.05;1;NaN;9;0.23;1;1.625;1;256;0.22;0.03
18HU10070_1133;61;42.84983;-61.72667;344707;9.62;07-nov-10;20:03:00;32.34;13.47;277.24928;NaN;6.061;0.74;0.284;NaN;9;0.015;1;NaN;9;0.03;1;NaN;9;0.23;1;1.565;1;256;0.13;0.02
18HU10070_1133;61;42.84983;-61.72667;344706;19.84;07-nov-10;20:03:00;32.36;13.47;276.49006;NaN;6.067;0.72;0.288;NaN;9;0.01;1;NaN;9;0.045;1;NaN;9;0.225;1;1.65;1;256;0.20;0.03
18HU10070_1133;61;42.84983;-61.72667;344705;30.26;07-nov-10;20:03:00;32.4;13.45;275.68618;NaN;6.061;0.765;0.285;NaN;9;0.02;1;NaN;9;0.07;1;NaN;9;0.23;1;1.555;1;256;0.30;0.05
18HU10070_1133;61;42.84983;-61.72667;344704;39.38;07-nov-10;20:03:00;32.58;13.45;269.88038;NaN;NaN;0.48;0.2;NaN;9;0.035;1;NaN;9;0.325;1;NaN;9;0.25;1;1.71;1;0;1.30;0.19
18HU10070_1133;61;42.84983;-61.72667;344703;49.5;07-nov-10;20:03:00;34.42;14.65;222.71942;NaN;NaN;0.23;0.111;NaN;9;0.09;1;NaN;9;4.625;1;NaN;9;0.465;1;3.19;1;0;9.95;1.45
18HU10070_1133;61;42.84983;-61.72667;344702;59.62;07-nov-10;20:03:00;34.89;14.13;208.91948;NaN;NaN;0.175;0.086;NaN;9;0.045;1;NaN;9;6.86;1;NaN;9;0.59;1;3.975;1;0;11.63;1.73
18HU10070_1133;61;42.84983;-61.72667;344701;79.65;07-nov-10;20:03:00;34.88;11.93;198.02244;NaN;NaN;0.045;0.034;NaN;9;0.015;1;NaN;9;11.47;1;NaN;9;0.88;1;6.45;1;0;13.03;1.78
18HU10070_1133;61;42.84983;-61.72667;344700;99.48;07-nov-10;20:03:00;35.32;12.93;182.92736;NaN;NaN;0.045;0.032;NaN;9;0.015;1;NaN;9;12.575;2;NaN;9;0.885;1;6.39;1;2048;14.21;1.97
18HU10070_1133;61;42.84983;-61.72667;344699;250.05;07-nov-10;20:03:00;35.39;11.02;154.7469;NaN;NaN;NaN;0.013;NaN;9;0.01;1;NaN;9;21.865;1;NaN;9;1.41;1;11.03;1;0;15.51;1.98
18HU10070_1133;61;42.84983;-61.72667;344698;499.8;07-nov-10;20:03:00;35.01;5.85;219.86118;NaN;4.842;NaN;0.013;NaN;9;0.005;1;NaN;9;21.13;1;NaN;9;1.41;1;13.215;1;256;14.99;1.60
18HU10070_1133;61;42.84983;-61.72667;344697;749.83;07-nov-10;20:03:00;34.96;4.73;258.49208;NaN;5.725;NaN;0.012;NaN;9;0.01;1;NaN;9;18.695;1;NaN;9;1.25;1;11.565;1;256;14.96;1.62
