CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18TL16003_171;21;42.94936;-64.58498;429295;91.42;17-mar-16;05:37:00;91.428;33.3254;7.041;5.1337;0.17863;1;33.322;1;5.293;1;0.11667;1;9.32667;1;0.9;1;7.78333;1;0;10.36;1.20
18TL16003_182;22;42.91732;-64.65269;429302;4.78;17-mar-16;07:08:00;4.784;31.92;3.9609;7.2763;0.74748;1;NaN;9;7.448;1;0.11;1;1.82;1;0.53033;1;1.98333;2;2048;3.43;0.92
18TL16003_182;22;42.91732;-64.65208;429301;25.77;17-mar-16;07:06:00;25.772;31.9902;4.0741;7.2218;0.82798;1;NaN;9;NaN;9;0.12;1;1.93333;1;0.529;1;1.78667;2;2048;3.65;1.08
18TL16003_182;22;42.91732;-64.65132;429300;49.99;17-mar-16;07:05:00;49.999;32.4535;4.9971;6.8389;1.39195;1;NaN;9;NaN;9;0.14;1;2.03333;1;0.538;1;1.26667;2;2048;3.78;1.61
18TL16003_182;22;42.91734;-64.65014;429299;88.64;17-mar-16;07:03:00;88.645;33.3254;7.0314;5.1588;0.18292;1;33.323;1;5.3335;1;0.12333;1;9.03667;1;0.94433;1;7.50333;1;0;9.57;1.20
18TL16003_193;23;42.92732;-64.83582;429306;4.9;17-mar-16;11:22:00;4.907;31.3819;3.1091;7.5271;0.70148;1;NaN;9;7.6;1;0.15667;1;3.04333;1;0.61233;1;3.09333;1;0;4.97;0.98
18TL16003_193;23;42.92728;-64.83575;429305;24.99;17-mar-16;11:21:00;24.999;31.3907;3.0782;7.5119;0.67848;1;NaN;9;NaN;9;0.15;1;3.15667;1;0.61967;1;2.98;1;0;5.09;1.06
18TL16003_193;23;42.92723;-64.83566;429304;50.26;17-mar-16;11:19:00;50.269;32.6;5.4264;6.2254;0.38044;1;NaN;9;NaN;9;0.16667;1;5.31;1;0.72833;1;4.23;1;0;7.29;1.26
18TL16003_193;23;42.92714;-64.83542;429303;89.05;17-mar-16;11:18:00;89.052;32.9265;6.1806;5.6546;0.26021;1;32.923;1;5.8115;1;0.14;1;7.38;1;0.843;1;6.07667;1;0;8.75;1.21
18TL16003_204;24;42.52976;-64.55091;429311;4.12;17-mar-16;16:01:00;4.125;33.123;6.8626;6.7187;3.74088;1;NaN;9;6.889;1;0.14;1;2.60333;1;0.49233;1;1.58;1;0;5.29;1.65
18TL16003_204;24;42.53015;-64.5506;429310;24.5;17-mar-16;16:00:00;24.503;33.237;7.1629;6.6249;4.13237;1;NaN;9;NaN;9;0.14;1;2.94333;1;0.501;1;1.32333;1;0;5.87;2.22
18TL16003_204;24;42.53056;-64.55019;429309;51.02;17-mar-16;15:59:00;51.027;34.3177;9.9502;5.6254;0.70148;1;NaN;9;NaN;9;0.20667;1;6.52333;1;0.642;1;3.41333;1;0;10.16;1.91
18TL16003_204;24;42.53118;-64.54926;429308;101.45;17-mar-16;15:57:00;101.453;35.2481;12.2858;4.1195;0.06625;1;NaN;9;NaN;9;0.06667;1;12.77333;1;0.92067;1;6.85333;1;0;13.87;1.86
18TL16003_204;24;42.53301;-64.54648;429307;251.73;17-mar-16;15:50:00;251.731;35.2769;10.8564;3.2457;0.04938;1;35.273;1;3.458;1;0.05667;1;18.73667;1;1.31433;1;10.77667;1;0;14.26;1.74
18TL16003_215;25;42.49796;-64.78566;429315;4.63;17-mar-16;18:24:00;4.635;32.1966;4.739;7.1842;1.54097;1;NaN;9;7.3535;1;0.11667;1;1.42667;1;0.496;1;1.02;2;2048;2.88;1.40
18TL16003_215;25;42.49774;-64.78566;429314;25.14;17-mar-16;18:23:00;25.144;32.3352;4.8844;7.0249;1.40297;1;NaN;9;NaN;9;0.13667;1;2.08667;1;0.52133;1;1.56;2;2048;4.00;1.34
18TL16003_215;25;42.49747;-64.78558;429313;50.14;17-mar-16;18:21:00;50.147;33.0865;6.5315;5.9721;1.03498;1;NaN;9;NaN;9;0.15;1;5.30667;1;0.68133;1;4.18667;1;0;7.79;1.27
18TL16003_215;25;42.49664;-64.78493;429312;137.73;17-mar-16;18:18:00;137.73;34.7725;10.2495;3.9654;0.17433;1;34.723;1;4.2175;1;0.10667;1;14.67;1;1.11833;1;9.26333;1;0;13.12;1.58
18TL16003_237;26;42.6243;-65.32606;429319;4.76;17-mar-16;22:30:00;4.762;31.5964;3.9747;7.3818;1.13848;1;NaN;9;7.558;1;0.15;1;2.02333;1;0.56133;1;1.69667;2;2048;3.60;1.19
