CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Q_CHL;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;NO2_01;Q_NO2;NO2_01;Q_NO2;NOx_01;Q_NOX;NOx_01;Q_NOX;PO4_01;Q_PO4;PO4_01;Q_PO4;Si_01;Q_Si;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);((none));(PSU);((none));(ml/l);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
18HU13008_121;HL_16;39.6903;-59.548;392800;1450.62;24-may-13;09:44:00;34.9746;4.1728;5.7388;NaN;9;34.9743;1;5.969;1;NaN;9;0.135;1;NaN;9;18.7;1;NaN;9;1.1655;1;NaN;9;12.275;1;0;16.04;1.52
18HU13008_121;HL_16;39.6903;-59.548;392799;1721.53;24-may-13;09:44:00;34.9649;3.9345;5.7896;NaN;9;34.966;1;6.03933;1;NaN;9;0.125;1;NaN;9;18.48;1;NaN;9;1.155;1;NaN;9;12.96;1;0;16.00;1.43
18HU13008_121;HL_16;39.6903;-59.548;392798;2002.92;24-may-13;09:44:00;34.9549;3.6935;5.838;NaN;9;34.9558;1;6.119;1;NaN;9;0.115;1;NaN;9;18.65;1;NaN;9;1.1575;1;NaN;9;13.85;1;0;16.11;1.35
18HU13008_121;HL_16;39.6903;-59.548;392797;2277.05;24-may-13;09:44:00;34.9469;3.4678;5.8632;NaN;9;34.9467;1;6.149;1;NaN;9;0.1;1;NaN;9;18.55;1;NaN;9;1.1675;1;NaN;9;15.25;1;0;15.89;1.22
18HU13008_121;HL_16;39.6903;-59.548;392796;2571.7;24-may-13;09:44:00;34.9449;3.2659;5.8443;NaN;9;34.9451;1;6.099;1;NaN;9;0.085;1;NaN;9;18.885;1;NaN;9;1.187;1;NaN;9;17.57;1;0;15.91;1.07
18HU13008_121;HL_16;39.6903;-59.548;392795;2877.34;24-may-13;09:44:00;34.9378;3.0464;5.8389;NaN;9;34.9382;1;5.959;1;NaN;9;0.07;1;NaN;9;18.86;1;NaN;9;1.204;1;NaN;9;19.64;1;0;15.66;0.96
18HU13008_121;HL_16;39.6903;-59.548;392794;3181.37;24-may-13;09:44:00;34.9265;2.8196;5.8714;NaN;9;34.92633;1;6.187;1;NaN;9;0.065;1;NaN;9;18.775;1;NaN;9;1.2165;1;NaN;9;21.26;1;0;15.43;0.88
18HU13008_121;HL_16;39.6903;-59.548;392793;3471.15;24-may-13;09:44:00;34.9136;2.595;5.9092;NaN;9;34.9128;1;6.182;1;NaN;9;0.06;1;NaN;9;18.51;1;NaN;9;1.3045;1;NaN;9;23.005;1;0;14.19;0.80
18HU13008_121;HL_16;39.6903;-59.548;392792;3750.01;24-may-13;09:44:00;34.903;2.4312;5.9204;NaN;9;34.9032;1;6.221;1;NaN;9;0.06;1;NaN;9;18.44;1;NaN;9;1.309;1;NaN;9;24.93;1;0;14.09;0.74
18HU13008_121;HL_16;39.6903;-59.548;392791;4000.22;24-may-13;09:44:00;34.8954;2.3332;5.9188;NaN;9;34.8943;1;6.211;1;NaN;9;0.06;1;NaN;9;18.86;1;NaN;9;1.3385;1;NaN;9;27.33;1;0;14.09;0.69
18HU13008_121;HL_16;39.6903;-59.548;392790;4252.87;24-may-13;09:44:00;34.8902;2.2902;5.8979;NaN;9;34.8915;1;5.818;1;NaN;9;0.055;1;NaN;9;18.965;1;NaN;9;1.389;1;NaN;9;29.75;1;0;13.65;0.64
18HU13008_121;HL_16;39.6903;-59.548;392789;4501.45;24-may-13;09:44:00;34.8862;2.2725;5.8752;NaN;9;34.8858;1;6.022;1;NaN;9;0.06;1;NaN;9;19.18;1;NaN;9;1.3885;1;NaN;9;31.79;1;0;13.81;0.60
18HU13008_121;HL_16;39.6903;-59.548;392788;4793.58;24-may-13;09:44:00;34.8823;2.2697;5.8436;NaN;9;34.8825;1;5.25;1;NaN;9;0.06;1;NaN;9;19.67;1;NaN;9;1.413;1;NaN;9;34.505;1;0;13.92;0.57
18HU13008_121;HL_16;39.6903;-59.548;392787;5000.35;24-may-13;09:44:00;34.8795;2.2705;5.8173;NaN;9;34.8795;1;5.65;1;NaN;9;0.06;1;NaN;9;19.755;1;NaN;9;1.4225;1;NaN;9;36.535;1;4;13.89;0.54
18HU13008_121;HL_16;39.6903;-59.548;392786;5220.86;24-may-13;09:44:00;34.8748;2.2574;5.8259;NaN;9;34.8759;1;5.874;1;NaN;9;0.075;1;NaN;9;20.145;1;NaN;9;1.4525;1;NaN;9;39.415;1;4;13.87;0.51
18HU13008_124;HL_16;39.7659;-59.5297;392819;2.88;24-may-13;14:45:00;36.2058;22.4583;4.7587;0.1575;1;NaN;9;NaN;9;NaN;9;0.05;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.905;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392820;3.23;24-may-13;14:45:00;36.2058;22.458;4.7385;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
18HU13008_124;HL_16;39.7659;-59.5297;392818;9.08;24-may-13;14:45:00;36.2094;22.4455;4.7382;0.1628;1;NaN;9;NaN;9;NaN;9;0.045;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.815;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392817;19.19;24-may-13;14:45:00;36.2943;22.2091;4.7513;0.154;1;NaN;9;NaN;9;NaN;9;0.045;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.725;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392816;28.65;24-may-13;14:45:00;36.3335;21.9914;4.7459;0.1925;1;NaN;9;NaN;9;NaN;9;0.06;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.66;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392815;39.53;24-may-13;14:45:00;36.3518;21.8666;4.7494;0.1889;1;NaN;9;NaN;9;NaN;9;0.04;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.505;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392814;49.53;24-may-13;14:45:00;36.3508;21.688;4.7674;0.2597;1;NaN;9;NaN;9;NaN;9;0.04;1;NaN;9;0;1;NaN;9;0;1;NaN;9;0.42;1;0;NaN;0.00
18HU13008_124;HL_16;39.7659;-59.5297;392812;60;24-may-13;14:45:00;36.4487;21.5885;4.6322;0.7152;1;NaN;9;NaN;9;NaN;9;0.095;1;NaN;9;0.15;1;NaN;9;0;1;NaN;9;0.59;1;0;NaN;0.25
18HU13008_124;HL_16;39.7659;-59.5297;392813;60.53;24-may-13;14:45:00;36.4488;21.5843;4.6512;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
